Year,Month,cereals and tubers,non-food,oil and fats,pulses and nuts
2014,1,15.357142857142858,7.46375,11.333333333333334,15.88888888888889
2014,2,13.428571428571429,7.016875,10.333333333333334,14.777777777777779
2014,3,12.25,7.116875,11.666666666666666,14.333333333333334
2014,4,11.866666666666667,7.104375,10.0,14.333333333333334
2014,5,12.214285714285714,7.148125,8.666666666666666,13.88888888888889
2014,6,12.0,7.17625,9.333333333333334,13.777777777777779
2014,7,11.916666666666666,6.9559999999999995,9.333333333333334,14.555555555555555
2014,8,15.602941176470589,3.8115,11.875,14.197368421052632
2014,9,14.991176470588234,3.824,12.25,13.68421052631579
2014,10,15.830394117647058,4.1325,12.59375,13.45833157894737
2014,11,18.447614285714288,4.342499999999999,15.369057142857143,14.735526315789471
2014,12,15.366666666666665,4.4175,12.662500000000001,13.25294117647059
2015,1,17.917647058823526,4.6175,13.125,14.426666666666666
2015,2,16.89375,4.6103000000000005,16.571428571428573,13.764285714285714
2015,3,17.03076923076923,4.83,15.22857142857143,13.45
2015,4,23.31578947368421,5.880000000000001,17.0,19.0775
2015,5,23.26458333333333,12.971666666666666,18.580000000000002,21.2225
2015,6,24.473913043478266,12.205454545454545,21.384999999999998,26.1875
2015,7,25.802083333333332,11.628181818181817,24.675,25.3825
2015,8,25.818749999999998,12.561818181818182,24.775,26.735000000000003
2015,9,24.471739130434777,13.092500000000001,27.380000000000003,24.883333333333333
2015,10,27.739130434782613,19.0675,24.69375,27.077499999999997
2015,11,33.13571428571429,17.25111111111111,29.481818181818184,28.23125
2015,12,36.675000000000004,22.0,31.48,35.2
2016,1,39.556666666666665,28.74857142857143,37.47727272727273,38.324999999999996
2016,2,47.433928571428574,30.414285714285715,52.40909090909091,42.75
2016,3,60.39999999999999,36.25,53.25,54.032
2016,4,59.991379310344826,31.453125,52.208333333333336,55.84423076923077
2016,5,64.58333333333333,33.72666666666667,66.4090909090909,60.891304347826086
2016,6,60.67794117647058,48.75,69.9388888888889,56.339285714285715
2016,7,99.0925925925926,72.41666428571429,105.21969090909091,95.8873
2016,8,149.77307692307693,99.13214285714285,132.97727272727272,121.94736842105263
2016,9,112.57894736842105,161.66666666666666,117.875,91.7625
2016,10,142.95333333333335,94.30833333333334,120.5,111.0
2016,11,159.16458333333335,89.425,132.305,120.78571428571429
2016,12,186.92499999999998,95.96666666666665,139.82,145.11666666666665
2017,1,178.4763157894737,107.56250000000001,185.36111111111111,164.1058823529412
2017,2,188.84230769230768,112.2125,189.12,192.00454545454548
2017,3,209.30384615384614,111.93499999999999,206.6,219.78636363636363
2017,4,265.04615384615386,114.00937499999999,236.15,263.03478260869565
2017,5,294.25,118.83454545454543,255.0,314.01
2017,6,286.5625,235.32888888888888,280.5833333333333,319.48148148148147
2017,7,291.741935483871,239.9077777777778,295.72727272727275,334.4807692307692
2017,8,282.4259259259259,245.64285714285714,280.3,347.9782608695652
2017,9,240.5,,342.6666666666667,221.66666666666666
2017,10,268.25,303.8,293.1818181818182,305.7391304347826
2017,11,241.08695652173913,248.9485714285714,301.0,278.94444444444446
2017,12,257.26666666666665,260.4242857142857,292.8,263.65
2018,1,277.9117647058824,243.36411764705886,297.4,317.5238095238095
2018,3,314.0169491525424,2582.267115384616,372.09090909090907,381.14285714285717
2018,4,329.4590909090909,2769.8426,445.45,484.8690476190476
2018,8,360.5769230769231,3032.6532666666667,404.1111111111111,482.59090909090907
