,admin_level,centroid_lat,centroid_lon,color,date,demography_type,geomaster_id,geomaster_name,households,individuals,individuals_type,lat_max,lat_min,lon_max,lon_min,month,numChildren,population_group_id,population_groups,population_groups_concat,published,source,year
0,District,3.5385950999296,31.300604750391,#3c8dbc,2018-10-31,1,6032,Yumbe,0,222958,1,4.1784522427867,2.8987379570724,32.132419036105,30.468790464676,10,0,5071,"[{'id': '5071', 'name': 'Registered refugees from South Sudan (refugee camps/centers) (Uganda OPM)', 'pop_accommodation_code': 'C', 'pop_accommodation_name': 'Refugee Camps/Centers', 'pop_data_type_code': 'REG', 'pop_data_type_name': 'Registered', 'pop_type_code': 'REF', 'pop_type_name': 'Refugees', 'pop_frequency_name': 'Daily', 'pop_frequency_code': 'D', 'pop_frequency_cumulative': 'cumulative', 'pop_frequency_cumulative_code': 'C', 'pop_origin_name': 'South Sudan', 'pop_origin_code': 'SSD'}]",Registered refugees from South Sudan (refugee camps/centers) (Uganda OPM),False,Office of the Prime Minister,2018
1,District,3.45859,31.778,#3c8dbc,2018-10-31,1,1926,Adjumani,0,201885,1,4.0906166798865,2.519510770406,32.799057142857,30.756942857143,10,14,5071,"[{'id': '5071', 'name': 'Registered refugees from South Sudan (refugee camps/centers) (Uganda OPM)', 'pop_accommodation_code': 'C', 'pop_accommodation_name': 'Refugee Camps/Centers', 'pop_data_type_code': 'REG', 'pop_data_type_name': 'Registered', 'pop_type_code': 'REF', 'pop_type_name': 'Refugees', 'pop_frequency_name': 'Daily', 'pop_frequency_code': 'D', 'pop_frequency_cumulative': 'cumulative', 'pop_frequency_cumulative_code': 'C', 'pop_origin_name': 'South Sudan', 'pop_origin_code': 'SSD'}]",Registered refugees from South Sudan (refugee camps/centers) (Uganda OPM),False,Office of the Prime Minister,2018
2,Region,3.03081,31.2451,#3c8dbc,2018-10-31,1,1941,Arua,0,149373,1,3.54581,2.51581,31.9146,30.5756,10,3,5071,"[{'id': '5071', 'name': 'Registered refugees from South Sudan (refugee camps/centers) (Uganda OPM)', 'pop_accommodation_code': 'C', 'pop_accommodation_name': 'Refugee Camps/Centers', 'pop_data_type_code': 'REG', 'pop_data_type_name': 'Registered', 'pop_type_code': 'REF', 'pop_type_name': 'Refugees', 'pop_frequency_name': 'Daily', 'pop_frequency_code': 'D', 'pop_frequency_cumulative': 'cumulative', 'pop_frequency_cumulative_code': 'C', 'pop_origin_name': 'South Sudan', 'pop_origin_code': 'SSD'}]",Registered refugees from South Sudan (refugee camps/centers) (Uganda OPM),False,Office of the Prime Minister,2018
3,District,3.6208317878965,31.72769825625,#3c8dbc,2018-10-31,1,6031,Moyo,0,118377,1,4.0984032164679,3.1432603593251,32.348541113393,31.106855399107,10,0,5071,"[{'id': '5071', 'name': 'Registered refugees from South Sudan (refugee camps/centers) (Uganda OPM)', 'pop_accommodation_code': 'C', 'pop_accommodation_name': 'Refugee Camps/Centers', 'pop_data_type_code': 'REG', 'pop_data_type_name': 'Registered', 'pop_type_code': 'REF', 'pop_type_name': 'Refugees', 'pop_frequency_name': 'Daily', 'pop_frequency_code': 'D', 'pop_frequency_cumulative': 'cumulative', 'pop_frequency_cumulative_code': 'C', 'pop_origin_name': 'South Sudan', 'pop_origin_code': 'SSD'}]",Registered refugees from South Sudan (refugee camps/centers) (Uganda OPM),False,Office of the Prime Minister,2018
4,District,1.940341667,32.180172222,#3c8dbc,2018-10-31,1,1948,Kiryandongo,0,53221,1,2.9029130955714,0.97777023842857,33.431515079143,30.928829364857,10,1,5071,"[{'id': '5071', 'name': 'Registered refugees from South Sudan (refugee camps/centers) (Uganda OPM)', 'pop_accommodation_code': 'C', 'pop_accommodation_name': 'Refugee Camps/Centers', 'pop_data_type_code': 'REG', 'pop_data_type_name': 'Registered', 'pop_type_code': 'REF', 'pop_type_name': 'Refugees', 'pop_frequency_name': 'Daily', 'pop_frequency_code': 'D', 'pop_frequency_cumulative': 'cumulative', 'pop_frequency_cumulative_code': 'C', 'pop_origin_name': 'South Sudan', 'pop_origin_code': 'SSD'}]",Registered refugees from South Sudan (refugee camps/centers) (Uganda OPM),False,Office of the Prime Minister,2018
5,District,3.5707568,32.5372741,#3c8dbc,2018-10-31,1,6030,Lamwo,0,33397,1,4.0640425142857,3.0774710857143,33.178545528571,31.896002671429,10,0,5071,"[{'id': '5071', 'name': 'Registered refugees from South Sudan (refugee camps/centers) (Uganda OPM)', 'pop_accommodation_code': 'C', 'pop_accommodation_name': 'Refugee Camps/Centers', 'pop_data_type_code': 'REG', 'pop_data_type_name': 'Registered', 'pop_type_code': 'REF', 'pop_type_name': 'Refugees', 'pop_frequency_name': 'Daily', 'pop_frequency_code': 'D', 'pop_frequency_cumulative': 'cumulative', 'pop_frequency_cumulative_code': 'C', 'pop_origin_name': 'South Sudan', 'pop_origin_code': 'SSD'}]",Registered refugees from South Sudan (refugee camps/centers) (Uganda OPM),False,Office of the Prime Minister,2018
6,Region,1.42258,31.355,#3c8dbc,2018-10-31,1,1945,Hoima,0,3125,1,2.0438657142857,0.80129428571429,32.162671428571,30.547328571429,10,1,5071,"[{'id': '5071', 'name': 'Registered refugees from South Sudan (refugee camps/centers) (Uganda OPM)', 'pop_accommodation_code': 'C', 'pop_accommodation_name': 'Refugee Camps/Centers', 'pop_data_type_code': 'REG', 'pop_data_type_name': 'Registered', 'pop_type_code': 'REF', 'pop_type_name': 'Refugees', 'pop_frequency_name': 'Daily', 'pop_frequency_code': 'D', 'pop_frequency_cumulative': 'cumulative', 'pop_frequency_cumulative_code': 'C', 'pop_origin_name': 'South Sudan', 'pop_origin_code': 'SSD'}]",Registered refugees from South Sudan (refugee camps/centers) (Uganda OPM),False,Office of the Prime Minister,2018
7,District,0.76505626555677,32.5825197,#3c8dbc,2018-10-31,1,6033,Kampala,0,2551,1,1.0965982031758,-0.2914912869263,33.429788059375,31.625388059375,10,1,5071,"[{'id': '5071', 'name': 'Registered refugees from South Sudan (refugee camps/centers) (Uganda OPM)', 'pop_accommodation_code': 'C', 'pop_accommodation_name': 'Refugee Camps/Centers', 'pop_data_type_code': 'REG', 'pop_data_type_name': 'Registered', 'pop_type_code': 'REF', 'pop_type_name': 'Refugees', 'pop_frequency_name': 'Daily', 'pop_frequency_code': 'D', 'pop_frequency_cumulative': 'cumulative', 'pop_frequency_cumulative_code': 'C', 'pop_origin_name': 'South Sudan', 'pop_origin_code': 'SSD'}]",Registered refugees from South Sudan (refugee camps/centers) (Uganda OPM),False,Office of the Prime Minister,2018
8,District,-0.843543,30.8039474,#3c8dbc,2018-10-31,1,6024,Isingiro,0,158,1,-0.44882871428571,-1.2382572857143,31.317075971428,30.290818828571,10,2,5071,"[{'id': '5071', 'name': 'Registered refugees from South Sudan (refugee camps/centers) (Uganda OPM)', 'pop_accommodation_code': 'C', 'pop_accommodation_name': 'Refugee Camps/Centers', 'pop_data_type_code': 'REG', 'pop_data_type_name': 'Registered', 'pop_type_code': 'REF', 'pop_type_name': 'Refugees', 'pop_frequency_name': 'Daily', 'pop_frequency_code': 'D', 'pop_frequency_cumulative': 'cumulative', 'pop_frequency_cumulative_code': 'C', 'pop_origin_name': 'South Sudan', 'pop_origin_code': 'SSD'}]",Registered refugees from South Sudan (refugee camps/centers) (Uganda OPM),False,Office of the Prime Minister,2018
9,Province,0.225793,30.4818446,#3c8dbc,2018-10-31,1,7101,Kamwenge,0,34,1,0.81850728571429,-0.36692128571429,31.252373171429,29.711316028571,10,0,5071,"[{'id': '5071', 'name': 'Registered refugees from South Sudan (refugee camps/centers) (Uganda OPM)', 'pop_accommodation_code': 'C', 'pop_accommodation_name': 'Refugee Camps/Centers', 'pop_data_type_code': 'REG', 'pop_data_type_name': 'Registered', 'pop_type_code': 'REF', 'pop_type_name': 'Refugees', 'pop_frequency_name': 'Daily', 'pop_frequency_code': 'D', 'pop_frequency_cumulative': 'cumulative', 'pop_frequency_cumulative_code': 'C', 'pop_origin_name': 'South Sudan', 'pop_origin_code': 'SSD'}]",Registered refugees from South Sudan (refugee camps/centers) (Uganda OPM),False,Office of the Prime Minister,2018
