,date,timestamp,individuals,to,period_change,Year,Month,Day
0,2012-12-31,1356912000,12524,Uganda,0.0,2012,12,31
1,2013-12-31,1388448000,25274,Uganda,12750.0,2013,12,31
2,2014-03-31,1396224000,118051,Uganda,92777.0,2014,03,31
3,2014-06-30,1404086400,142766,Uganda,24715.0,2014,06,30
4,2014-09-30,1412035200,150181,Uganda,7415.0,2014,09,30
5,2014-12-31,1419984000,157883,Uganda,7702.0,2014,12,31
6,2015-03-31,1427760000,166750,Uganda,8867.0,2015,03,31
7,2015-06-30,1435622400,180491,Uganda,13741.0,2015,06,30
8,2015-09-30,1443571200,195715,Uganda,15224.0,2015,09,30
9,2015-12-31,1451520000,200274,Uganda,4559.0,2015,12,31
10,2016-01-31,1454198400,200782,Uganda,508.0,2016,01,31
11,2016-02-29,1456704000,207616,Uganda,6834.0,2016,02,29
12,2016-03-31,1459382400,221591,Uganda,13975.0,2016,03,31
13,2016-04-30,1461974400,176782,Uganda,-44809.0,2016,04,30
14,2016-05-31,1464652800,224416,Uganda,47634.0,2016,05,31
15,2016-06-30,1467244800,229172,Uganda,4756.0,2016,06,30
16,2016-07-31,1469923200,238141,Uganda,8969.0,2016,07,31
17,2016-08-31,1472601600,299066,Uganda,60925.0,2016,08,31
18,2016-09-30,1475193600,449319,Uganda,150253.0,2016,09,30
19,2016-10-31,1477872000,553701,Uganda,104382.0,2016,10,31
20,2016-11-30,1480464000,620260,Uganda,66559.0,2016,11,30
21,2016-12-31,1483142400,639951,Uganda,19691.0,2016,12,31
22,2017-01-31,1485820800,720078,Uganda,80127.0,2017,01,31
23,2017-02-28,1488240000,796671,Uganda,76593.0,2017,02,28
24,2017-03-31,1490918400,852278,Uganda,55607.0,2017,03,31
25,2017-04-30,1493510400,898860,Uganda,46582.0,2017,04,30
26,2017-05-31,1496188800,927898,Uganda,29038.0,2017,05,31
27,2017-06-30,1498780800,977742,Uganda,49844.0,2017,06,30
28,2017-07-31,1501459200,994638,Uganda,16896.0,2017,07,31
29,2017-08-31,1504137600,1013682,Uganda,19044.0,2017,08,31
30,2017-09-30,1506729600,1037102,Uganda,23420.0,2017,09,30
31,2017-10-31,1509408000,1037328,Uganda,226.0,2017,10,31
32,2017-11-30,1512000000,1053245,Uganda,15917.0,2017,11,30
33,2017-12-31,1514678400,1037894,Uganda,-15351.0,2017,12,31
34,2018-02-28,1519776000,1053598,Uganda,15704.0,2018,02,28
35,2018-04-30,1525046400,1061892,Uganda,8294.0,2018,04,30
36,2018-05-31,1527724800,1067637,Uganda,5745.0,2018,05,31
37,2018-06-30,1530316800,1065094,Uganda,-2543.0,2018,06,30
38,2018-07-31,1532995200,1073125,Uganda,8031.0,2018,07,31
39,2018-10-31,1540944000,785104,Uganda,-288021.0,2018,10,31
