,Unnamed: 0,data_id,event_date,year,time_precision,event_type,actor1,actor1_type,actor2,actor2_type,interaction_type,region1,region2,region3,location,latitude,longitude,geo_precision,fatalities,Month,Day,Year-Month
0,0,1954460,2018/11/9,2018,1,Violence against civilians,Aluakluak Communal Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Lakes,Rumbek East,Alamtoch West,Akot,6.5520000000000005,30.0591,2,2,11,9,2018-11
1,1,1954459,2018/11/6,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,1,1,11,6,2018-11
3,3,1954458,2018/11/2,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Eastern Equatoria,Torit,Hiyala,Tirangore,4.4801,32.816,1,0,11,2,2018-11
4,4,1954084,2018/10/31,2018,1,Violence against civilians,Murle Ethnic Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Jonglei,Bor South,Maar,Jalle,6.7489,31.4154,2,10,10,31,2018-10
9,9,1899861,2018/10/27,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Jonglei,Bor South,Makuac,Bor,6.2144,31.562,2,0,10,27,2018-10
12,12,1899859,2018/10/26,2018,2,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,2,0,10,26,2018-10
13,13,1953952,2018/10/25,2018,1,Strategic development,Government of South Sudan (2011-),Government or mutinous force,Prisoners (South Sudan),Civilians,17,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,1,0,10,25,2018-10
16,16,1897509,2018/10/24,2018,2,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Western Bahr el Ghazal,Wau,Udici,Wau,7.718,28.007,2,0,10,24,2018-10
20,20,1897505,2018/10/21,2018,1,Violence against civilians,Panyijiar Communal Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Lakes,Yirol East,Ador,Adior,6.7906,30.7079,2,0,10,21,2018-10
21,21,1893139,2018/10/17,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (Kenya),Civilians,37,Eastern Equatoria,Kapoeta South,Kapoeta,Kapoeta,4.7762,33.5829,1,0,10,17,2018-10
23,23,1893136,2018/10/16,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (Eritrea),Civilians,37,Eastern Equatoria,Kapoeta South,Kapoeta,Kapoeta,4.7762,33.5829,1,1,10,16,2018-10
28,28,1893128,2018/10/14,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Lakes,Eastern Bhar Naam,Aduel,Aduel,6.6267,29.8963,1,3,10,14,2018-10
29,29,1893129,2018/10/14,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Lakes,Yirol West,Aluakluak,Aluakluak,6.4801,30.1172,2,1,10,14,2018-10
30,30,1893130,2018/10/14,2018,1,Violence against civilians,Aluakluak Communal Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Lakes,Rumbek East,Paloc,Pagan,6.8153,30.1142,2,3,10,14,2018-10
34,34,1893120,2018/10/13,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Lakes,Yirol West,Aluakluak,Aluakluak,6.4801,30.1172,1,2,10,13,2018-10
36,36,1893123,2018/10/13,2018,1,Violence against civilians,Unidentified Communal Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Central Equatoria,Juba,Juba,Lokiliri,4.5455,31.9682,2,0,10,13,2018-10
37,37,1953950,2018/10/13,2018,2,Strategic development,Unidentified Communal Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Jonglei,Boma,Labarab,Labarab,6.693,34.0067,2,0,10,13,2018-10
40,40,1953949,2018/10/13,2018,1,Strategic development,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Lakes,Yirol East,Ador,Shambe,7.1029,30.7691,2,0,10,13,2018-10
42,42,1889591,2018/10/11,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Jonglei,Bor South,Makuac,Bor,6.2144,31.562,2,2,10,11,2018-10
46,46,1953948,2018/10/10,2018,2,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Lakes,Rumbek East,Alamtoch West,Tit Agok,6.5451,30.0281,2,0,10,10,2018-10
47,47,1953947,2018/10/10,2018,2,Violence against civilians,Unidentified Communal Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Jonglei,Boma,Labarab,Labarab,6.693,34.0067,2,0,10,10,2018-10
52,52,1889588,2018/10/8,2018,2,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,1,0,10,8,2018-10
63,63,1892046,2018/10/5,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Jonglei,Bor South,Makuac,Bor,6.214,31.562,2,2,10,5,2018-10
78,78,1953940,2018/10/1,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Central Equatoria,Terekeka,Terkeka,Gemmaiza,5.6803,31.8,2,0,10,1,2018-10
84,84,1885154,2018/9/28,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Western Equatoria,Yambio,Yambio,Yambio,4.6881,28.3975,2,9,9,28,2018-9
85,85,1953938,2018/9/27,2018,1,Strategic development,Government of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,3,0,9,27,2018-9
95,95,1884793,2018/9/24,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Western Equatoria,Yambio,Yambio,Ikpiro,4.5851,28.3908,1,1,9,24,2018-9
97,97,1883938,2018/9/23,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Eastern Equatoria,Torit,Bur (Loronyo),Torit,4.4182,32.5767,2,1,9,23,2018-9
100,100,1884243,2018/9/19,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Western Equatoria,Maridi,Maridi,Maridi,4.9238,29.4626,3,3,9,19,2018-9
101,101,1884241,2018/9/17,2018,1,Violence against civilians,Aluakluak Communal Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Lakes,Rumbek Centre,Kuei,Rumbek,6.819,29.7,2,0,9,17,2018-9
103,103,1893096,2018/9/15,2018,3,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Lakes,Rumbek East,Alamtoch West,Atiabba,6.5733,29.9782,1,1,9,15,2018-9
112,112,1953935,2018/9/11,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Lakes,Rumbek Centre,Kuei,Rumbek,6.8187,29.6995,2,2,9,11,2018-9
114,114,1756497,2018/9/8,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Central Equatoria,Juba,Juba,Munuki,4.8568,31.5795,1,0,9,8,2018-9
117,117,1756491,2018/9/6,2018,2,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Warrap,Gogrial West,Akon,Akon,8.8822,27.9892,2,1,9,6,2018-9
120,120,1756494,2018/9/6,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (Sudan),Civilians,37,Warrap,Twic,Ajakkuac,Ajakuac,9.232,28.589,2,1,9,6,2018-9
131,131,1756485,2018/9/3,2018,2,Strategic development,UNMISS: United Nations Mission in the Republic of South Sudan (2011-),Outside/external force (e.g. UN),Civilians (South Sudan),Civilians,78,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,1,0,9,3,2018-9
132,132,1756479,2018/9/2,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Central Equatoria,Lainya,Otogo,Limbe,4.1589,30.8378,2,1,9,2,2018-9
137,137,1756478,2018/8/29,2018,2,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Central Equatoria,Juba,Juba,Munuki,4.8568,31.5795,1,0,8,29,2018-8
140,140,1743289,2018/8/25,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Eastern Equatoria,Torit,Bur (Loronyo),Torit,4.4182,32.5767,2,0,8,25,2018-8
141,141,1743287,2018/8/24,2018,2,Strategic development,Boma Communal Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Jonglei,Twic East,Paliau,Paliau,6.966,31.3808,2,0,8,24,2018-8
142,142,1743286,2018/8/23,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Eastern Equatoria,Torit,Bur (Loronyo),Torit,4.4182,32.5767,2,1,8,23,2018-8
145,145,1743285,2018/8/22,2018,1,Violence against civilians,Boma Communal Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Jonglei,Twic East,Paliau,Paliau,6.966,31.3808,2,2,8,22,2018-8
150,150,1743278,2018/8/19,2018,1,Violence against civilians,Terekeka Communal Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Central Equatoria,Juba,Juba,Gworolorongo,4.8889999999999985,31.0348,2,5,8,19,2018-8
156,156,1743295,2018/8/11,2018,1,Violence against civilians,Haforiere Communal Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Eastern Equatoria,Torit,Bur (Loronyo),Oguruny,4.4256,32.8936,2,1,8,11,2018-8
157,157,1743272,2018/8/10,2018,1,Violence against civilians,Terekeka Communal Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Central Equatoria,Juba,Juba,Gworolorongo,4.8889999999999985,31.0348,2,2,8,10,2018-8
160,160,1743270,2018/8/8,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Western Equatoria,Yambio,Yambio,Yambio,4.5710000000000015,28.4104,1,0,8,8,2018-8
163,163,1743268,2018/8/5,2018,1,Violence against civilians,Terekeka Communal Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Central Equatoria,Juba,Juba,Gworolorongo,4.8889999999999985,31.0348,2,7,8,5,2018-8
168,168,1743265,2018/8/4,2018,1,Violence against civilians,Police Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Warrap,Tonj South,Tonj,Tonj,7.2733,28.6839,2,1,8,4,2018-8
169,169,1743259,2018/7/31,2018,1,Violence against civilians,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,Rebel force,Civilians (South Sudan),Civilians,27,Central Equatoria,Yei,Yei,Longamere,3.9181,30.7428,2,6,7,31,2018-7
170,170,1743260,2018/7/31,2018,2,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Central Equatoria,Yei,Yei,Longamere,3.9181,30.7428,2,6,7,31,2018-7
171,171,1743258,2018/7/30,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Eastern Equatoria,Torit,Bur (Loronyo),Torit,4.4182,32.5767,2,0,7,30,2018-7
174,174,1728019,2018/7/28,2018,1,Strategic development,Police Forces of South Sudan (2011-) National Security Service,Government or mutinous force,Civilians (South Sudan),Civilians,17,Central Equatoria,Juba,Juba,Juba,4.8609,31.6178,1,0,7,28,2018-7
175,175,1728018,2018/7/27,2018,2,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (Sudan),Civilians,37,Unity,Rubkona,Rubkoana,Bentiu,9.2525,29.7883,1,1,7,27,2018-7
176,176,1743255,2018/7/27,2018,1,Violence against civilians,Terekeka Communal Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Central Equatoria,Juba,Juba,Gworolorongo,4.8889999999999985,31.0348,2,4,7,27,2018-7
179,179,1743254,2018/7/24,2018,1,Violence against civilians,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,Rebel force,Civilians (South Sudan),Civilians,27,Central Equatoria,Yei,Yei,Logobero,4.2095,30.68,2,0,7,24,2018-7
