,Unnamed: 0,data_id,event_date,year,time_precision,event_type,actor1,actor1_type,actor2,actor2_type,interaction_type,region1,region2,region3,location,latitude,longitude,geo_precision,fatalities,Month,Day
3601,3601,1476057,2014/12/31,2014,2,Remote violence,Military Forces of Sudan (1989-),Outside/external force (e.g. UN),Civilians (South Sudan),Civilians,78,Western Bahr el Ghazal,Raga,Raja,Raja,8.4624,25.681,1,2,12,31
3602,3602,1476058,2014/12/31,2014,1,Remote violence,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,Rebel force,Military Forces of South Sudan (2011-),Government or mutinous force,12,Upper Nile,Luakpiny/Nasir,,Nasir,8.6,33.0667,1,0,12,31
3603,3603,1476059,2014/12/31,2014,1,Violence against civilians,Vigilante Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Central Equatoria,Kajo-Keji,Kangepo l,Kajo-Keji,3.8848,31.6667,1,1,12,31
3604,3604,1476087,2014/12/30,2014,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Unity,Rubkona,Rubkoana,Rubkona,9.3067,29.7833,2,2,12,30
3605,3605,1253145,2014/12/29,2014,1,Violence against civilians,Ayual Ethnic Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Eastern Equatoria,Magwi,Pageri,Nimule,3.6019,32.0831,1,0,12,29
3606,3606,1253146,2014/12/29,2014,1,Battle-No change of territory,Ayual Ethnic Militia (South Sudan),Ethnic militia,Juet Ethnic Militia (South Sudan),Ethnic militia,44,Eastern Equatoria,Magwi,Pageri,Nimule,3.6019,32.0831,1,0,12,29
3607,3607,1476122,2014/12/29,2014,1,Violence against civilians,Military Forces of South Sudan (2011-),Government or mutinous force,Civilians (South Sudan),Civilians,17,Unity,Rubkona,Rubkoana,Bentiu,9.2525,29.7883,2,10,12,29
3608,3608,1476123,2014/12/29,2014,1,Remote violence,Military Forces of South Sudan (2011-),Government or mutinous force,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,Rebel force,12,Upper Nile,Luakpiny/Nasir,,Nasir,8.6,33.0667,1,1,12,29
3609,3609,1476143,2014/12/28,2014,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Western Equatoria,Mundri West,Mundri,Mundri,5.35,30.3167,1,3,12,28
3610,3610,1476169,2014/12/27,2014,1,Battle-No change of territory,Unidentified Communal Militia (South Sudan),Ethnic militia,Unidentified Communal Militia (South Sudan),Ethnic militia,44,Lakes,Rumbek East,Alamtoch West,Pan-awach,6.6783,29.8427,1,0,12,27
3611,3611,1476170,2014/12/27,2014,1,Battle-No change of territory,Gony Clan Militia (South Sudan),Ethnic militia,Thuyic Ethnic Militia (South Sudan),Ethnic militia,44,Lakes,Rumbek East,Alamtoch West,Pacong,6.6976,29.8147,1,18,12,27
3612,3612,1476171,2014/12/27,2014,1,Battle-No change of territory,Gony Clan Militia (South Sudan),Ethnic militia,Thuyic Ethnic Militia (South Sudan),Ethnic militia,44,Lakes,Rumbek East,Alamtoch East,Malek,6.62,29.82,1,17,12,27
3613,3613,563140,2014/12/26,2014,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Western Equatoria,Maridi,Maridi,Maridi,4.9238,29.4626,1,3,12,26
3614,3614,1476246,2014/12/24,2014,1,Violence against civilians,Unidentified Armed Group (South Sudan),Political militia,Civilians (South Sudan),Civilians,37,Central Equatoria,Terekeka,Terkeka,Tali,5.8938,30.7783,1,9,12,24
3615,3615,1476364,2014/12/21,2014,1,Battle-No change of territory,Thuyic Ethnic Militia (South Sudan),Ethnic militia,Gony Clan Militia (South Sudan),Ethnic militia,44,Lakes,Rumbek Centre,Kuei,Rumbek,6.8187,29.6995,2,2,12,21
3616,3616,1476390,2014/12/21,2014,1,Violence against civilians,JEM: Justice and Equality Movement,Rebel force,Civilians (South Sudan),Civilians,27,Unity,Mayom,Mankien,Mayom,9.22,29.17,2,3,12,21
3617,3617,563136,2014/12/20,2014,1,Battle-No change of territory,Kangi Communal Militia (South Sudan),Ethnic militia,Alel Thony Communal Militia (South Sudan),Ethnic militia,44,Western Bahr el Ghazal,Jur River,Marial Wau,Nyin Akok,7.92,28.04,2,3,12,20
3618,3618,563135,2014/12/19,2014,1,Riots/Protests,Protesters (South Sudan),Protesters,,0,60,Jonglei,Bor South,Makuac,Bor,6.2144,31.562,1,0,12,19
3619,3619,563134,2014/12/17,2014,2,Violence against civilians,Kangi Communal Militia (South Sudan),Ethnic militia,Civilians (South Sudan),Civilians,47,Western Bahr el Ghazal,Jur River,Marial Wau,Nyin Akok,7.92,28.04,2,1,12,17
3620,3620,1476561,2014/12/16,2014,1,Battle-No change of territory,Military Forces of South Sudan (2011-),Government or mutinous force,SPLA/M-In Opposition: Sudanese Peoples Liberation Army/Movement-In Opposition,Rebel force,12,Eastern Equatoria,Magwi,Pageri,Nimule,3.6019,32.0831,2,0,12,16
