@relation R_data_frame

@attribute X numeric
@attribute Central.Equatoria {Average,High,Low}
@attribute Eastern.Equatoria {Average,High,Low}
@attribute Gogrial {High}
@attribute Jonglei {Average,High,Low}
@attribute Lakes {Average,High,Low}
@attribute Northern.Bahr.el.Ghazal {Average,High}
@attribute Unity {Average,High,Low}
@attribute Upper.Nile {Average,High,Low}
@attribute Warrap {Average,High,Low}
@attribute Western.Bahr.el.Ghazal {Average,High,Low}
@attribute Western.Equatoria {Average,High,Low}
@attribute Battle.Government.regains.territory {Average,High}
@attribute Battle.No.change.of.territory {Average,High,Low}
@attribute Battle.Non.state.actor.overtakes.territory {Average,High,Low}
@attribute Headquarters.or.base.established {High}
@attribute Non.violent.transfer.of.territory {High}
@attribute Remote.violence {Average,High,Low}
@attribute Riots.Protests {Average,High,Low}
@attribute Strategic.development {Average,High,Low}
@attribute Violence.against.civilians {Average,High,Low}
@attribute total_events_y {Average,High,Low}
@attribute total_refugees {Average,High,Low}
@attribute refugees_move_out {Average,High,Low}
@attribute out_to_DRC {Average,High,Low}
@attribute out_to_Ethiopia {Average,High,Low}
@attribute out_to_Kenya {Average,High,Low}
@attribute out_to_Sudan {Average,High,Low}
@attribute out_to_uganda {Average,High,Low}
@attribute cereals.and.tubers {Average,High,Low}
@attribute non.food {Average,High,Low}
@attribute oil.and.fats {Average,High,Low}
@attribute pulses.and.nuts {Average,High,Low}

@data
0,Low,Low,High,Low,High,Average,Average,High,Low,Low,Low,Average,Low,Average,High,High,High,High,Low,Low,Low,Low,Low,Average,High,High,Average,Low,Low,Low,Low,Low
1,Low,Average,High,High,Low,Average,Low,High,Average,Low,Low,High,Low,Average,High,High,High,High,Low,Low,Low,Low,Low,Average,High,High,Average,Low,Low,Low,Low,Low
2,Low,High,High,High,High,Average,Low,Average,High,Average,Average,Average,Low,Average,High,High,High,Average,Low,Low,Low,Low,Average,Average,Low,High,High,Low,Low,Low,Low,Low
3,Low,Low,High,Low,High,Average,High,High,Low,High,Low,Average,Low,Average,High,High,High,Average,Average,Average,Average,Low,Low,Average,Average,High,High,Low,Low,Low,Low,Low
4,Low,High,High,High,Low,Average,Average,High,Average,Low,Low,Average,Low,Low,High,High,High,Average,Average,Average,Low,Low,Average,Average,High,High,High,Low,Low,Low,Low,Low
5,Low,High,High,Average,Average,Average,Average,High,Average,Average,Average,High,Average,High,High,High,High,High,Low,Low,Average,Low,Average,Low,Low,High,High,Average,Low,Low,Low,Low
6,Low,Low,High,Average,High,High,High,High,Low,Low,Low,High,Average,Low,High,High,High,Low,Average,Low,Average,Low,Average,Average,Average,High,High,Average,Low,Low,Low,Low
7,Low,Low,High,Average,High,High,High,High,High,Average,High,High,High,High,High,High,Average,Average,Low,High,High,Low,Average,Average,High,High,High,Average,Low,Low,Low,Low
8,Low,Low,High,Average,High,High,High,High,Average,High,High,Average,Average,High,High,High,High,High,Low,Average,Average,Low,High,Average,Average,High,High,Average,Low,Low,Low,Low
9,Average,Low,High,Average,High,High,Average,Average,Average,Low,Average,Average,Low,Average,High,High,High,High,Average,High,Average,Low,Average,Average,High,High,High,Average,Low,Low,Low,Low
