@relation R_data_frame

@attribute X numeric
@attribute Central.Equatoria numeric
@attribute Eastern.Equatoria numeric
@attribute Gogrial numeric
@attribute Jonglei numeric
@attribute Lakes numeric
@attribute Northern.Bahr.el.Ghazal numeric
@attribute Unity numeric
@attribute Upper.Nile numeric
@attribute Warrap numeric
@attribute Western.Bahr.el.Ghazal numeric
@attribute Western.Equatoria numeric
@attribute Battle.Government.regains.territory numeric
@attribute Battle.No.change.of.territory numeric
@attribute Battle.Non.state.actor.overtakes.territory numeric
@attribute Headquarters.or.base.established numeric
@attribute Non.violent.transfer.of.territory numeric
@attribute Remote.violence numeric
@attribute Riots.Protests numeric
@attribute Strategic.development numeric
@attribute Violence.against.civilians numeric
@attribute total_events_y numeric
@attribute total_refugees numeric
@attribute refugees_move_out numeric
@attribute out_to_DRC numeric
@attribute out_to_Ethiopia numeric
@attribute out_to_Kenya numeric
@attribute out_to_Sudan numeric
@attribute out_to_uganda numeric
@attribute cereals.and.tubers numeric
@attribute non.food numeric
@attribute oil.and.fats numeric
@attribute pulses.and.nuts numeric

@data
0,0.044776,0.038462,0,0.081081,1,0.142857,0.25,0.368421,0,0.038462,0.111111,0,0.26087,0.083333,0,0,0.333333,0.818182,0,0.04918,0.107143,0,0.593033,0.000521,1,1,0.183938,0.67409,0.001343,0,0,0.000436
1,0.014925,0.115385,0,0.324324,0.166667,0,0.071429,0.315789,0.285714,0.115385,0.166667,0.076923,0.195652,0.083333,0,0,0.666667,0.545455,0,0,0.071429,0,0.58934,0.000521,1,1,0.183938,0.67409,0.008925,0.000069,0.006412,0.003144
2,0,0.192308,0,0.297297,0.5,0,0.071429,0.157895,0.857143,0.153846,0.222222,0.038462,0.217391,0.083333,0,0,0.444444,0.181818,0.125,0.131148,0.107143,0.013019,0.640323,0.000521,0.28706,0.681838,0.225455,0.674745,0,0.000094,0.000159,0
3,0.059701,0.076923,0,0.108108,0.5,0.142857,0.428571,0.421053,0.142857,0.307692,0.166667,0,0.304348,0.083333,0,0,0.666667,0.272727,0.3125,0.196721,0.223214,0.013799,0.592394,0.000521,0.364438,0.681838,0.225455,0.674745,0.00739,0.00016,0.001227,0.002489
4,0.029851,0.192308,0,0.27027,0.166667,0,0.25,0.526316,0.285714,0.038462,0.111111,0,0.173913,0,0,0,1,0.181818,0.25,0.196721,0.169643,0.017703,0.604629,0.000521,0.44798,0.681838,0.225455,0.674745,0.004424,0.000158,0.009189,0.001084
5,0.059701,0.192308,0,0.216216,0.25,0.142857,0.357143,0.447368,0.428571,0.192308,0.277778,0.076923,0.456522,0.25,0,0,0.666667,0.545455,0.0625,0.098361,0.258929,0.031555,0.643589,0,0.360127,0.70301,0.198464,0.677403,0.004821,0.00023,0.006087,0.000418
6,0.014925,0.038462,0,0.162162,0.583333,0.428571,0.571429,0.5,0.142857,0.076923,0.055556,0.076923,0.456522,0,0,0,0.777778,0.090909,0.25,0.098361,0.223214,0.033564,0.597208,0.000521,0.397307,0.70301,0.198464,0.677403,0.023027,0.000577,0.010179,0.01235
7,0.029851,0,0,0.189189,0.5,0.571429,0.75,0.947368,0.857143,0.192308,0.5,0.384615,0.673913,1,0,1,0.222222,0.181818,0.0625,0.344262,0.571429,0.037594,0.605121,0.000521,0.451335,0.70301,0.198464,0.677403,0.022879,0.002919,0.01383,0.016898
8,0.014925,0.038462,0,0.162162,0.75,0.571429,0.428571,0.421053,0.285714,0.423077,0.444444,0.038462,0.5,0.666667,0,1,0.444444,0.636364,0.0625,0.147541,0.339286,0.078327,0.748856,0.000521,0.375488,0.70028,0.427264,0.688524,0.026382,0.002666,0.02031,0.027426
9,0.179104,0.076923,0,0.243243,1,0.428571,0.285714,0.263158,0.428571,0.076923,0.388889,0,0.23913,0.166667,0,1,0.333333,0.454545,0.375,0.393443,0.321429,0.082325,0.604999,0.000521,0.450507,0.70028,0.427264,0.688524,0.030229,0.002475,0.027911,0.025719
