@relation R_data_frame

@attribute X numeric
@attribute date {2014-03-31,2014-06-30,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-19,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-01,2017-09-15,2017-09-18,2017-09-30,2017-10-01,2017-10-15,2017-10-31,2017-11-15,2017-11-30,2017-12-15,2017-12-19,2017-12-31,2018-01-15,2018-01-31,2018-02-15,2018-02-28,2018-03-15,2018-03-31,2018-04-15,2018-04-30,2018-05-15,2018-05-31,2018-06-15,2018-06-30,2018-07-31,2018-08-15,2018-08-31,2018-09-15,2018-09-30,2018-10-31}
@attribute timestamp numeric
@attribute individuals numeric
@attribute Year numeric
@attribute Month numeric
@attribute Day numeric
@attribute Diff numeric
@attribute Date date yyyy-MM-dd

@data
0,2014-03-31,1396224000,398264,2014,3,31,?,2014-03-31
1,2014-06-30,1404086400,513868,2014,6,30,115604,2014-06-30
2,2014-09-30,1412035200,589560,2014,9,30,75692,2014-09-30
3,2014-10-31,1414713600,591356,2014,10,31,1796,2014-10-31
4,2014-11-30,1417305600,591356,2014,11,30,0,2014-11-30
5,2014-12-31,1419984000,616149,2014,12,31,24793,2014-12-31
6,2015-01-31,1422662400,617634,2015,1,31,1485,2015-01-31
7,2015-02-28,1425081600,625069,2015,2,28,7435,2015-02-28
8,2015-03-31,1427760000,651450,2015,3,31,26381,2015-03-31
9,2015-04-30,1430352000,655276,2015,4,30,3826,2015-04-30
10,2015-05-31,1433030400,662950,2015,5,31,7674,2015-05-31
11,2015-06-30,1435622400,740522,2015,6,30,77572,2015-06-30
12,2015-07-31,1438300800,748137,2015,7,31,7615,2015-07-31
13,2015-08-31,1440979200,753019,2015,8,31,4882,2015-08-31
14,2015-09-30,1443571200,769975,2015,9,30,16956,2015-09-30
15,2015-10-31,1446249600,770138,2015,10,31,163,2015-10-31
16,2015-11-30,1448841600,762550,2015,11,30,-7588,2015-11-30
17,2015-12-31,1451520000,778072,2015,12,31,15522,2015-12-31
18,2016-01-31,1454198400,787180,2016,1,31,9108,2016-01-31
19,2016-02-29,1456704000,769325,2016,2,29,-17855,2016-02-29
20,2016-03-31,1459382400,840498,2016,3,31,71173,2016-03-31
21,2016-04-30,1461974400,799783,2016,4,30,-40715,2016-04-30
22,2016-05-31,1464652800,854966,2016,5,31,55183,2016-05-31
23,2016-06-30,1467244800,847173,2016,6,30,-7793,2016-06-30
24,2016-07-31,1469923200,864057,2016,7,31,16884,2016-07-31
25,2016-08-31,1472601600,947281,2016,8,31,83224,2016-08-31
26,2016-09-30,1475193600,1146984,2016,9,30,199703,2016-09-30
27,2016-10-31,1477872000,1288334,2016,10,31,141350,2016-10-31
