@relation R_data_frame

@attribute X numeric
@attribute Year numeric
@attribute Month numeric
@attribute Central.Equatoria numeric
@attribute Eastern.Equatoria numeric
@attribute Gogrial numeric
@attribute Jonglei numeric
@attribute Lakes numeric
@attribute Northern.Bahr.el.Ghazal numeric
@attribute Unity numeric
@attribute Upper.Nile numeric
@attribute Warrap numeric
@attribute Western.Bahr.el.Ghazal numeric
@attribute Western.Equatoria numeric
@attribute total_events numeric
@attribute Unnamed..0 numeric
@attribute date {2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-19,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-01,2017-09-15,2017-09-18,2017-09-30,2017-10-01,2017-10-15,2017-10-31,2017-11-15,2017-11-30,2017-12-15,2017-12-19,2017-12-31,2018-01-15,2018-01-31,2018-02-15,2018-02-28,2018-03-15,2018-03-31,2018-04-15,2018-04-30,2018-05-15,2018-05-31,2018-06-15,2018-06-30,2018-07-31,2018-08-15,2018-08-31,2018-09-15,2018-09-30,2018-10-31}
@attribute timestamp numeric
@attribute individuals numeric
@attribute Day numeric
@attribute Diff numeric
@attribute DRC numeric
@attribute Ethiopia numeric
@attribute Kenya numeric
@attribute Sudan numeric
@attribute Uganda numeric
@attribute Date date yyyy-MM-dd

@data
0,2014,10,6,1,0,3,12,1,8,14,0,1,2,48,3,2014-10-31,1414713600,591356,31,1796,0,46751,10895,10631,7415,2014-10-31
1,2014,11,4,3,0,12,2,0,3,12,2,3,3,44,4,2014-11-30,1417305600,591356,30,0,0,46751,10895,10631,7415,2014-11-30
2,2014,12,3,5,0,11,6,0,3,6,6,4,4,48,5,2014-12-31,1419984000,616149,31,24793,0,-4026,2269,18848,7702,2014-12-31
3,2015,1,7,2,0,4,6,1,13,16,1,8,3,61,6,2015-01-31,1422662400,617634,31,1485,0,1485,2269,18848,7702,2015-01-31
4,2015,2,5,5,0,10,2,0,8,20,2,1,2,55,7,2015-02-28,1425081600,625069,28,7435,0,7435,2269,18848,7702,2015-02-28
5,2015,3,7,5,0,8,3,1,11,17,3,5,5,65,8,2015-03-31,1427760000,651450,31,26381,-13,1178,2843,13506,8867,2015-03-31
6,2015,4,4,1,0,6,7,3,17,19,1,2,1,61,9,2015-04-30,1430352000,655276,30,3826,0,3826,2843,13506,8867,2015-04-30
7,2015,5,5,0,0,7,6,4,22,36,6,5,9,100,10,2015-05-31,1433030400,662950,31,7674,0,7674,2843,13506,8867,2015-05-31
8,2015,6,4,1,0,6,9,4,13,16,2,11,8,74,11,2015-06-30,1435622400,740522,30,77572,0,2272,2769,58790,13741,2015-06-30
9,2015,7,15,2,0,9,12,3,9,10,3,2,7,72,12,2015-07-31,1438300800,748137,31,7615,0,7615,2769,58790,13741,2015-07-31
10,2015,8,10,7,0,9,5,0,23,11,2,4,10,81,13,2015-08-31,1440979200,753019,31,4882,0,4882,2769,58790,13741,2015-08-31
