@relation R_data_frame

@attribute X numeric
@attribute date {2012-12-31,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-02-28,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-10-31}
@attribute timestamp numeric
@attribute individuals numeric
@attribute to {Uganda}
@attribute Year numeric
@attribute Month numeric
@attribute Day numeric
@attribute Date date yyyy-MM-dd

@data
0,2012-12-31,1356912000,12524,Uganda,2012,12,31,2012-12-31
1,2013-12-31,1388448000,25274,Uganda,2013,12,31,2013-12-31
2,2014-03-31,1396224000,118051,Uganda,2014,3,31,2014-03-31
3,2014-06-30,1404086400,142766,Uganda,2014,6,30,2014-06-30
4,2014-09-30,1412035200,150181,Uganda,2014,9,30,2014-09-30
5,2014-12-31,1419984000,157883,Uganda,2014,12,31,2014-12-31
6,2015-03-31,1427760000,166750,Uganda,2015,3,31,2015-03-31
7,2015-06-30,1435622400,180491,Uganda,2015,6,30,2015-06-30
8,2015-09-30,1443571200,195715,Uganda,2015,9,30,2015-09-30
9,2015-12-31,1451520000,200274,Uganda,2015,12,31,2015-12-31
10,2016-01-31,1454198400,200782,Uganda,2016,1,31,2016-01-31
11,2016-02-29,1456704000,207616,Uganda,2016,2,29,2016-02-29
12,2016-03-31,1459382400,221591,Uganda,2016,3,31,2016-03-31
13,2016-04-30,1461974400,176782,Uganda,2016,4,30,2016-04-30
14,2016-05-31,1464652800,224416,Uganda,2016,5,31,2016-05-31
15,2016-06-30,1467244800,229172,Uganda,2016,6,30,2016-06-30
16,2016-07-31,1469923200,238141,Uganda,2016,7,31,2016-07-31
17,2016-08-31,1472601600,299066,Uganda,2016,8,31,2016-08-31
18,2016-09-30,1475193600,449319,Uganda,2016,9,30,2016-09-30
19,2016-10-31,1477872000,553701,Uganda,2016,10,31,2016-10-31
20,2016-11-30,1480464000,620260,Uganda,2016,11,30,2016-11-30
21,2016-12-31,1483142400,639951,Uganda,2016,12,31,2016-12-31
22,2017-01-31,1485820800,720078,Uganda,2017,1,31,2017-01-31
23,2017-02-28,1488240000,796671,Uganda,2017,2,28,2017-02-28
24,2017-03-31,1490918400,852278,Uganda,2017,3,31,2017-03-31
25,2017-04-30,1493510400,898860,Uganda,2017,4,30,2017-04-30
26,2017-05-31,1496188800,927898,Uganda,2017,5,31,2017-05-31
27,2017-06-30,1498780800,977742,Uganda,2017,6,30,2017-06-30
28,2017-07-31,1501459200,994638,Uganda,2017,7,31,2017-07-31
29,2017-08-31,1504137600,1013682,Uganda,2017,8,31,2017-08-31
30,2017-09-30,1506729600,1037102,Uganda,2017,9,30,2017-09-30
31,2017-10-31,1509408000,1037328,Uganda,2017,10,31,2017-10-31
32,2017-11-30,1512000000,1053245,Uganda,2017,11,30,2017-11-30
33,2017-12-31,1514678400,1037894,Uganda,2017,12,31,2017-12-31
34,2018-02-28,1519776000,1053598,Uganda,2018,2,28,2018-02-28
35,2018-04-30,1525046400,1061892,Uganda,2018,4,30,2018-04-30
36,2018-05-31,1527724800,1067637,Uganda,2018,5,31,2018-05-31
37,2018-06-30,1530316800,1065094,Uganda,2018,6,30,2018-06-30
38,2018-07-31,1532995200,1073125,Uganda,2018,7,31,2018-07-31
39,2018-10-31,1540944000,785104,Uganda,2018,10,31,2018-10-31
