,data_id,year,time_precision,event_type,actor1,assoc_actor_1,actor1_type,actor2,assoc_actor_2,actor2_type,interaction_type,region1,region2,region3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,Month,Day,Coordinates
0,1954460,2018,1,Violence against civilians,Aluakluak Communal Militia (South Sudan),,Ethnic militia,Civilians (South Sudan),,Civilians,47,Lakes,Rumbek East,Alamtoch West,Akot,6.5520000000000005,30.0591,2,Radio Tamazuj,Regional,"On November 9th, a local chief and his son were shot dead whilst they were travelling to Akot for a peace conference (coordinates for Akot, Lakes state, used). The county commissioner alleged the attackers came from the Aluak-Luak area of Lakes. The peace conference was cancelled as a result of the killing.",2,11,9,"(30.0591, 6.5520000000000005)"
1,1954459,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,1,Radio Voice of Hope,Subnational,"On November 6th, a group of ""unknown gunmen"" first raped and then killed a pregnant lady in Wau (Western Bahr el Ghazal).",1,11,6,"(28.0071, 7.7177)"
3,1954458,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Eastern Equatoria,Torit,Hiyala,Tirangore,4.4801,32.816,1,Radio Emmanuel,Subnational,"On November 2nd, local youth opened fire on indiviudals to prevent an inter-family crime in Tirangore village (Eastern Equatoria). Three injured and the perpetrators escaped.",0,11,2,"(32.816, 4.4801)"
4,1954084,2018,1,Violence against civilians,Murle Ethnic Militia (South Sudan),,Ethnic militia,Civilians (South Sudan),,Civilians,47,Jonglei,Bor South,Maar,Jalle,6.7489,31.4154,2,Radio Tamazuj; Eye Radio (South Sudan),National-Regional,"On October 31st, raiders (suspected to belong to the Murle ethnic group) attacked the cattle camp of Akot in the area of Jalle payam (Jonglei). The county commissioner for Bor North said the raiders killed 9 people (including three women and a young child), whilst 7 were injured. Many cattle were also reported to be stolen, and the cattle camp was destroyed. Update: A subsequent news report revised the death toll updwards to 10, and noted that nearly 780 families have been displaced by the attack.",10,10,31,"(31.4154, 6.7489)"
9,1899861,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),Students (South Sudan),Civilians,37,Jonglei,Bor South,Makuac,Bor,6.2144,31.561999999999998,2,Radio Tamazuj; Radio Miraya,National-Regional,"On October 27th, an unidentified group attacked a commercial vehicle travelling on the Juba-Bor road (coordinates for Bor, Joglei state, used). A student was wounded in the attack.",0,10,27,"(31.561999999999998, 6.2144)"
12,1899859,2018,2,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Western Bahr el Ghazal,Wau,Udici,Wau,7.7177,28.0071,2,Radio Tamazuj; Radio Miraya,Regional,"On or around October 26th, three men gang-raped a 13 year-old girl as she gathered firewood with her younger sister, on the outskirts of Wau near the UNMISS base (Western Bahr el Ghazal). Police have arrested the suspects.",0,10,26,"(28.0071, 7.7177)"
16,1897509,2018,2,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Western Bahr el Ghazal,Wau,Udici,Wau,7.718,28.006999999999998,2,Sudan Tribune,Regional,"On or before October 24th, three civilians were abducted in the Ngovendeko area in Wau, whilst houses were looted and torched. The attack came amidst clashes between the government and SPLA-IO forces.",0,10,24,"(28.006999999999998, 7.718)"
20,1897505,2018,1,Violence against civilians,Panyijiar Communal Militia (South Sudan),,Ethnic militia,Civilians (South Sudan),,Civilians,47,Lakes,Yirol East,Ador,Adior,6.7906,30.7079,2,Radio Tamazuj,Regional,"On October 21st, armed raiders believed to have come from Panyijiar county attacked an unspecified location in Adior county (Lakes state). They abducted three children, and stole hundreds of cattle.",0,10,21,"(30.7079, 6.7906)"
21,1893139,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (Kenya),Aid Workers (Kenya),Civilians,37,Eastern Equatoria,Kapoeta South,Kapoeta,Kapoeta,4.7762,33.5829,1,Radio Tamazuj,Regional,"On October 17th, a Kenyan working for a local South Sudanese NGO was shot and wounded by unknown attackers in Kapoeta (Eastern Equatoria).",0,10,17,"(33.5829, 4.7762)"
23,1893136,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (Eritrea),,Civilians,37,Eastern Equatoria,Kapoeta South,Kapoeta,Kapoeta,4.7762,33.5829,1,Radio Tamazuj,Regional,"On October 16th, gunmen shot and killed an Eritrean trader in Kapoeta (Eastern Equatoria) in his place of business. Two suspects have been arrested.",1,10,16,"(33.5829, 4.7762)"
28,1893128,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Lakes,Eastern Bhar Naam,Aduel,Aduel,6.6267,29.8963,1,Eye Radio,National,"On October 14th, three civilians were reportedly killed in attack in Aduel (Lakes state). There are no further details, including information on the attackers.",3,10,14,"(29.8963, 6.6267)"
29,1893129,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Lakes,Yirol West,Aluakluak,Aluakluak,6.4801,30.1172,2,Eye Radio,National,"On October 14th, a man riding a motorbike was shot dead at an unspecified location on the road between Yirol and Aluakluak (coordinates for Aluaklauk, Lakes state, used).",1,10,14,"(30.1172, 6.4801)"
30,1893130,2018,1,Violence against civilians,Aluakluak Communal Militia (South Sudan),Herders (South Sudan),Ethnic militia,Civilians (South Sudan),,Civilians,47,Lakes,Rumbek East,Paloc,Pagan,6.8153,30.1142,2,Radio Tamazuj,Regional,"On October 14th, an armed group - allegedly cattle raiders from Aluakluak - attacked and killed three people at an unspecified location in Paloc county (Lakes state, approximate coordinates for Pagan used based on humanitarian source).",3,10,14,"(30.1142, 6.8153)"
34,1893120,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),Students (South Sudan),Civilians,37,Lakes,Yirol West,Aluakluak,Aluakluak,6.4801,30.1172,1,Radio Tamazuj; Eye Radio,National-regional,"On October 13th, a group of armed men attacked a passenger vehicle in the area of Aluakluak (Lakes state) as it was travelling towards Rumbek. Two civilians were killed and one was wounded in the attack (all of whom were believed to be University students).",2,10,13,"(30.1172, 6.4801)"
36,1893123,2018,1,Violence against civilians,Unidentified Communal Militia (South Sudan),Herders (South Sudan),Ethnic militia,Civilians (South Sudan),,Civilians,47,Central Equatoria,Juba,Juba,Lokiliri,4.5455,31.9682,2,Radio Miraya,National,"On October 13th, three children were abducted by an unknown group (alleged to be herders) at Chalara village (Central Equatoria, coordinates for Lokiliri used). Authorities have begun a search for the missing children.",0,10,13,"(31.9682, 4.5455)"
42,1889591,2018,1,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Jonglei,Bor South,Makuac,Bor,6.2144,31.561999999999998,2,Radio Tamazuj; Radio Miraya,National-Regional,"On October 11th, a passenger bus travelling along the Bor-Juba road was ambushed at Malithtor in Bor South county (coordinates for Bor, Jonglei state, used). Two passengers were killed, and at least four wounded. The driver of the bus claimed that the attackers were wearing South Sudan Defence Force uniforms, though it is unclear if it relates to the militia or the new name of the SPLA - South Sudan's People's Defence Force).",2,10,11,"(31.561999999999998, 6.2144)"
46,1953948,2018,2,Violence against civilians,Unidentified Armed Group (South Sudan),,Political militia,Civilians (South Sudan),,Civilians,37,Lakes,Rumbek East,Alamtoch West,Tit Agok,6.5451,30.0281,2,Good News Radio,Subnational,"Early October (source dated Oct 19th mentioning the event taking place at a recent time) a 14 year-old girl was abducted in Tit Agok (Lakes state, approximate coordinates used based on humanitarian source) by unknown attackers.",0,10,10,"(30.0281, 6.5451)"
47,1953947,2018,2,Violence against civilians,Unidentified Communal Militia (South Sudan),,Ethnic militia,Civilians (South Sudan),,Civilians,47,Jonglei,Boma,Labarab,Labarab,6.693,34.0067,2,Radio Miraya,National,"During the week beginning Monday 8th October, 12 people were abducted as part of inter-communal violence in Maruo Boma state (in the former Jonglei state). Approximate coordinates for Labarab (Jonglei) have been used based on humanitarian source.",0,10,10,"(34.0067, 6.693)"
