,admin_level,centroid_lat,centroid_lon,color,date,demography_type,geomaster_id,geomaster_name,households,individuals,individuals_type,lat_max,lat_min,lon_max,lon_min,month,numChildren,population_group_id,population_groups,population_groups_concat,published,source,year
0,Town,15,32,#3c8dbc,2017-11-15,1,1907,Khartoum,0,285705,1,22.0,8.0,39.0,25.0,11,0,5072,"[{'id': '5072', 'name': 'Registered refugees from South Sudan  (refugee camps/centers, UNHCR, COR, IOM, HAC, SRCS)', 'pop_accommodation_code': None, 'pop_accommodation_name': None, 'pop_data_type_code': 'REG', 'pop_data_type_name': 'Registered', 'pop_type_code': 'REF', 'pop_type_name': 'Refugees', 'pop_frequency_name': 'Daily', 'pop_frequency_code': 'D', 'pop_frequency_cumulative': 'cumulative', 'pop_frequency_cumulative_code': 'C', 'pop_origin_name': 'South Sudan', 'pop_origin_code': 'SSD'}]","Registered refugees from South Sudan  (refugee camps/centers, UNHCR, COR, IOM, HAC, SRCS)",False,"UNHCR, IOM, SRCS, COR, HAC",2017
1,Region,13.34,32.42,#3c8dbc,2018-10-31,1,1913,White Nile,0,176224,1,20.34,8.5186840083288,39.42,25.42,10,0,5072,"[{'id': '5072', 'name': 'Registered refugees from South Sudan  (refugee camps/centers, UNHCR, COR, IOM, HAC, SRCS)', 'pop_accommodation_code': None, 'pop_accommodation_name': None, 'pop_data_type_code': 'REG', 'pop_data_type_name': 'Registered', 'pop_type_code': 'REF', 'pop_type_name': 'Refugees', 'pop_frequency_name': 'Daily', 'pop_frequency_code': 'D', 'pop_frequency_cumulative': 'cumulative', 'pop_frequency_cumulative_code': 'C', 'pop_origin_name': 'South Sudan', 'pop_origin_code': 'SSD'}]","Registered refugees from South Sudan  (refugee camps/centers, UNHCR, COR, IOM, HAC, SRCS)",False,"UNHCR, IOM, SRCS, COR, HAC",2018
2,Region,11.077,26.84400000000005,#3c8dbc,2018-10-31,1,1906,East Darfur,0,99023,1,12.101714285714,10.052285714286,28.176128571429,25.511871428571,10,0,5072,"[{'id': '5072', 'name': 'Registered refugees from South Sudan  (refugee camps/centers, UNHCR, COR, IOM, HAC, SRCS)', 'pop_accommodation_code': None, 'pop_accommodation_name': None, 'pop_data_type_code': 'REG', 'pop_data_type_name': 'Registered', 'pop_type_code': 'REF', 'pop_type_name': 'Refugees', 'pop_frequency_name': 'Daily', 'pop_frequency_code': 'D', 'pop_frequency_cumulative': 'cumulative', 'pop_frequency_cumulative_code': 'C', 'pop_origin_name': 'South Sudan', 'pop_origin_code': 'SSD'}]","Registered refugees from South Sudan  (refugee camps/centers, UNHCR, COR, IOM, HAC, SRCS)",False,"UNHCR, IOM, SRCS, COR, HAC",2018
3,Region,11.7192001343,28.32939910890002,#3c8dbc,2018-10-31,1,1912,West Kordofan,0,58743,1,13.359057277157,10.079342991443,30.461213394614,26.197584823186,10,0,5072,"[{'id': '5072', 'name': 'Registered refugees from South Sudan  (refugee camps/centers, UNHCR, COR, IOM, HAC, SRCS)', 'pop_accommodation_code': None, 'pop_accommodation_name': None, 'pop_data_type_code': 'REG', 'pop_data_type_name': 'Registered', 'pop_type_code': 'REF', 'pop_type_name': 'Refugees', 'pop_frequency_name': 'Daily', 'pop_frequency_code': 'D', 'pop_frequency_cumulative': 'cumulative', 'pop_frequency_cumulative_code': 'C', 'pop_origin_name': 'South Sudan', 'pop_origin_code': 'SSD'}]","Registered refugees from South Sudan  (refugee camps/centers, UNHCR, COR, IOM, HAC, SRCS)",False,"UNHCR, IOM, SRCS, COR, HAC",2018
4,Region,10.884764370886332,30.91592407229996,#3c8dbc,2018-10-31,1,1911,South Kordofan,0,38225,1,12.4862002106,9.5422002106,31.6430006348,27.8158006348,10,0,5072,"[{'id': '5072', 'name': 'Registered refugees from South Sudan  (refugee camps/centers, UNHCR, COR, IOM, HAC, SRCS)', 'pop_accommodation_code': None, 'pop_accommodation_name': None, 'pop_data_type_code': 'REG', 'pop_data_type_name': 'Registered', 'pop_type_code': 'REF', 'pop_type_name': 'Refugees', 'pop_frequency_name': 'Daily', 'pop_frequency_code': 'D', 'pop_frequency_cumulative': 'cumulative', 'pop_frequency_cumulative_code': 'C', 'pop_origin_name': 'South Sudan', 'pop_origin_code': 'SSD'}]","Registered refugees from South Sudan  (refugee camps/centers, UNHCR, COR, IOM, HAC, SRCS)",False,"UNHCR, IOM, SRCS, COR, HAC",2018
5,Region,11.669058,24.882356000000073,#3c8dbc,2018-10-31,1,1910,South Darfur,0,29942,1,12.397629428571,10.940486571429,25.829498857143,23.935213142857,10,0,5072,"[{'id': '5072', 'name': 'Registered refugees from South Sudan  (refugee camps/centers, UNHCR, COR, IOM, HAC, SRCS)', 'pop_accommodation_code': None, 'pop_accommodation_name': None, 'pop_data_type_code': 'REG', 'pop_data_type_name': 'Registered', 'pop_type_code': 'REF', 'pop_type_name': 'Refugees', 'pop_frequency_name': 'Daily', 'pop_frequency_code': 'D', 'pop_frequency_cumulative': 'cumulative', 'pop_frequency_cumulative_code': 'C', 'pop_origin_name': 'South Sudan', 'pop_origin_code': 'SSD'}]","Registered refugees from South Sudan  (refugee camps/centers, UNHCR, COR, IOM, HAC, SRCS)",False,"UNHCR, IOM, SRCS, COR, HAC",2018
6,Region,12.275599,26.729736000000003,#3c8dbc,2018-10-31,1,6040,North Darfur,0,18445,1,14.206599,10.344599,29.240036,24.219436,10,0,5072,"[{'id': '5072', 'name': 'Registered refugees from South Sudan  (refugee camps/centers, UNHCR, COR, IOM, HAC, SRCS)', 'pop_accommodation_code': None, 'pop_accommodation_name': None, 'pop_data_type_code': 'REG', 'pop_data_type_name': 'Registered', 'pop_type_code': 'REF', 'pop_type_name': 'Refugees', 'pop_frequency_name': 'Daily', 'pop_frequency_code': 'D', 'pop_frequency_cumulative': 'cumulative', 'pop_frequency_cumulative_code': 'C', 'pop_origin_name': 'South Sudan', 'pop_origin_code': 'SSD'}]","Registered refugees from South Sudan  (refugee camps/centers, UNHCR, COR, IOM, HAC, SRCS)",False,"UNHCR, IOM, SRCS, COR, HAC",2018
7,Region,14.118662921,35.112362689000065,#3c8dbc,2018-01-31,1,7053,Gedaref,0,12450,1,15.798234349571,12.439091492429,37.295805546143,32.928919831857,1,0,5072,"[{'id': '5072', 'name': 'Registered refugees from South Sudan  (refugee camps/centers, UNHCR, COR, IOM, HAC, SRCS)', 'pop_accommodation_code': None, 'pop_accommodation_name': None, 'pop_data_type_code': 'REG', 'pop_data_type_name': 'Registered', 'pop_type_code': 'REF', 'pop_type_name': 'Refugees', 'pop_frequency_name': 'Daily', 'pop_frequency_code': 'D', 'pop_frequency_cumulative': 'cumulative', 'pop_frequency_cumulative_code': 'C', 'pop_origin_name': 'South Sudan', 'pop_origin_code': 'SSD'}]","Registered refugees from South Sudan  (refugee camps/centers, UNHCR, COR, IOM, HAC, SRCS)",False,"UNHCR, IOM, SRCS, COR, HAC",2018
8,Region,19.6202628616,35.71660731049997,#3c8dbc,2017-11-15,1,7057,Red Sea,0,10000,1,20.941691433029,18.298834290171,37.434464453357,33.998750167643,11,0,5072,"[{'id': '5072', 'name': 'Registered refugees from South Sudan  (refugee camps/centers, UNHCR, COR, IOM, HAC, SRCS)', 'pop_accommodation_code': None, 'pop_accommodation_name': None, 'pop_data_type_code': 'REG', 'pop_data_type_name': 'Registered', 'pop_type_code': 'REF', 'pop_type_name': 'Refugees', 'pop_frequency_name': 'Daily', 'pop_frequency_code': 'D', 'pop_frequency_cumulative': 'cumulative', 'pop_frequency_cumulative_code': 'C', 'pop_origin_name': 'South Sudan', 'pop_origin_code': 'SSD'}]","Registered refugees from South Sudan  (refugee camps/centers, UNHCR, COR, IOM, HAC, SRCS)",False,"UNHCR, IOM, SRCS, COR, HAC",2017
9,Region,13.167599678,30.24489974979997,#3c8dbc,2017-11-15,1,1908,North Kordofan,0,8563,1,14.827171106571,11.508028249429,32.402342606943,28.087456892657,11,0,5072,"[{'id': '5072', 'name': 'Registered refugees from South Sudan  (refugee camps/centers, UNHCR, COR, IOM, HAC, SRCS)', 'pop_accommodation_code': None, 'pop_accommodation_name': None, 'pop_data_type_code': 'REG', 'pop_data_type_name': 'Registered', 'pop_type_code': 'REF', 'pop_type_name': 'Refugees', 'pop_frequency_name': 'Daily', 'pop_frequency_code': 'D', 'pop_frequency_cumulative': 'cumulative', 'pop_frequency_cumulative_code': 'C', 'pop_origin_name': 'South Sudan', 'pop_origin_code': 'SSD'}]","Registered refugees from South Sudan  (refugee camps/centers, UNHCR, COR, IOM, HAC, SRCS)",False,"UNHCR, IOM, SRCS, COR, HAC",2017
