,Year,Month,Central Equatoria,Eastern Equatoria,Gogrial,Jonglei,Lakes,Northern Bahr el Ghazal,Unity,Upper Nile,Warrap,Western Bahr el Ghazal,Western Equatoria,Battle-Government regains territory,Battle-No change of territory,Battle-Non-state actor overtakes territory,Headquarters or base established,Non-violent transfer of territory,Remote violence,Riots/Protests,Strategic development,Violence against civilians,total_events_y,total_refugees,refugees_move_out,out_to_DRC,out_to_Ethiopia,out_to_Kenya,out_to_Sudan,out_to_uganda,cereals and tubers,non-food,oil and fats,pulses and nuts
0,2014,10,6.0,1.0,0.0,3.0,12.0,1.0,8.0,14.0,0.0,1.0,2.0,0.0,23.0,1.0,0.0,0.0,3.0,9.0,0.0,12.0,48.0,591356.0,1796.0,0.0,46751.0,10895.0,10631.0,7415.0,15.830394117647057,4.1325,12.59375,13.45833157894737
1,2014,11,4.0,3.0,0.0,12.0,2.0,0.0,3.0,12.0,2.0,3.0,3.0,2.0,20.0,1.0,0.0,0.0,6.0,6.0,0.0,9.0,44.0,591356.0,0.0,0.0,46751.0,10895.0,10631.0,7415.0,18.44761428571429,4.3424999999999985,15.369057142857145,14.735526315789473
2,2014,12,3.0,5.0,0.0,11.0,6.0,0.0,3.0,6.0,6.0,4.0,4.0,1.0,21.0,1.0,0.0,0.0,4.0,2.0,2.0,17.0,48.0,616149.0,24793.0,0.0,-4026.0,2269.0,18848.0,7702.0,15.366666666666665,4.4175,12.6625,13.25294117647059
3,2015,1,7.0,2.0,0.0,4.0,6.0,1.0,13.0,16.0,1.0,8.0,3.0,0.0,25.0,1.0,0.0,0.0,6.0,3.0,5.0,21.0,61.0,617634.0,1485.0,0.0,1485.0,2269.0,18848.0,7702.0,17.917647058823523,4.6175,13.125,14.426666666666666
4,2015,2,5.0,5.0,0.0,10.0,2.0,0.0,8.0,20.0,2.0,1.0,2.0,0.0,19.0,0.0,0.0,0.0,9.0,2.0,4.0,21.0,55.0,625069.0,7435.0,0.0,7435.0,2269.0,18848.0,7702.0,16.89375,4.6103000000000005,16.571428571428573,13.764285714285714
5,2015,3,7.0,5.0,0.0,8.0,3.0,1.0,11.0,17.0,3.0,5.0,5.0,2.0,32.0,3.0,0.0,0.0,6.0,6.0,1.0,15.0,65.0,651450.0,26381.0,-13.0,1178.0,2843.0,13506.0,8867.0,17.03076923076923,4.83,15.22857142857143,13.45
6,2015,4,4.0,1.0,0.0,6.0,7.0,3.0,17.0,19.0,1.0,2.0,1.0,2.0,32.0,0.0,0.0,0.0,7.0,1.0,4.0,15.0,61.0,655276.0,3826.0,0.0,3826.0,2843.0,13506.0,8867.0,23.315789473684212,5.880000000000001,17.0,19.0775
7,2015,5,5.0,0.0,0.0,7.0,6.0,4.0,22.0,36.0,6.0,5.0,9.0,10.0,42.0,12.0,0.0,1.0,2.0,2.0,1.0,30.0,100.0,662950.0,7674.0,0.0,7674.0,2843.0,13506.0,8867.0,23.26458333333333,12.971666666666666,18.58,21.2225
8,2015,6,4.0,1.0,0.0,6.0,9.0,4.0,13.0,16.0,2.0,11.0,8.0,1.0,34.0,8.0,0.0,1.0,4.0,7.0,1.0,18.0,74.0,740522.0,77572.0,0.0,2272.0,2769.0,58790.0,13741.0,24.473913043478266,12.205454545454545,21.385,26.1875
9,2015,7,15.0,2.0,0.0,9.0,12.0,3.0,9.0,10.0,3.0,2.0,7.0,0.0,22.0,2.0,0.0,1.0,3.0,5.0,6.0,33.0,72.0,748137.0,7615.0,0.0,7615.0,2769.0,58790.0,13741.0,25.80208333333333,11.628181818181815,24.675,25.3825
10,2015,8,10.0,7.0,0.0,9.0,5.0,0.0,23.0,11.0,2.0,4.0,10.0,0.0,47.0,4.0,0.0,0.0,1.0,7.0,1.0,21.0,81.0,753019.0,4882.0,0.0,4882.0,2769.0,58790.0,13741.0,25.81875,12.561818181818182,24.775,26.735000000000007
11,2015,9,12.0,0.0,0.0,8.0,6.0,0.0,19.0,24.0,0.0,0.0,7.0,3.0,30.0,1.0,0.0,0.0,6.0,1.0,1.0,34.0,76.0,769975.0,16956.0,0.0,1276.0,-4846.0,5302.0,15224.0,24.471739130434777,13.0925,27.380000000000006,24.88333333333333
12,2015,10,12.0,0.0,0.0,5.0,5.0,2.0,25.0,8.0,6.0,4.0,5.0,0.0,28.0,1.0,0.0,0.0,3.0,5.0,5.0,30.0,72.0,770138.0,163.0,0.0,163.0,-4846.0,5302.0,15224.0,27.73913043478261,19.0675,24.69375,27.0775
13,2015,11,8.0,5.0,0.0,10.0,4.0,0.0,15.0,6.0,0.0,10.0,10.0,2.0,28.0,1.0,0.0,0.0,6.0,2.0,1.0,28.0,68.0,762550.0,-7588.0,0.0,-7588.0,-4846.0,5302.0,15224.0,33.135714285714286,17.251111111111108,29.481818181818184,28.23125
14,2015,12,5.0,7.0,0.0,3.0,4.0,0.0,5.0,8.0,1.0,13.0,18.0,0.0,31.0,1.0,0.0,1.0,5.0,0.0,0.0,26.0,64.0,778072.0,15522.0,3813.0,270.0,5525.0,1355.0,4559.0,36.675,22.0,31.48,35.2
15,2016,1,16.0,0.0,0.0,5.0,0.0,1.0,1.0,4.0,4.0,11.0,15.0,0.0,23.0,0.0,1.0,0.0,5.0,0.0,0.0,28.0,57.0,787180.0,9108.0,1130.0,1383.0,883.0,5204.0,508.0,39.556666666666665,28.74857142857143,37.47727272727273,38.325
16,2016,2,4.0,1.0,0.0,9.0,2.0,0.0,2.0,6.0,5.0,14.0,18.0,0.0,28.0,0.0,0.0,0.0,1.0,2.0,5.0,25.0,61.0,769325.0,-17855.0,0.0,-409.0,1494.0,-25774.0,6834.0,47.433928571428574,30.414285714285718,52.40909090909091,42.75
17,2016,3,5.0,2.0,0.0,11.0,2.0,7.0,8.0,12.0,4.0,4.0,2.0,1.0,25.0,0.0,0.0,0.0,3.0,5.0,0.0,23.0,57.0,840498.0,71173.0,6185.0,1009.0,1173.0,48831.0,13975.0,60.39999999999999,36.25,53.25,54.032
18,2016,4,8.0,0.0,0.0,7.0,3.0,5.0,10.0,2.0,2.0,17.0,7.0,0.0,33.0,0.0,0.0,0.0,5.0,4.0,6.0,13.0,61.0,799783.0,-40715.0,1.0,290.0,2317.0,1486.0,-44809.0,59.99137931034482,31.453125,52.20833333333334,55.844230769230776
19,2016,5,13.0,6.0,0.0,6.0,2.0,2.0,4.0,3.0,5.0,6.0,3.0,1.0,15.0,0.0,0.0,0.0,0.0,4.0,7.0,23.0,50.0,854966.0,55183.0,0.0,1351.0,1615.0,4583.0,47634.0,64.58333333333333,33.72666666666667,66.4090909090909,60.89130434782609
20,2016,6,12.0,2.0,0.0,2.0,2.0,1.0,5.0,1.0,0.0,16.0,2.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,4.0,17.0,43.0,847173.0,-7793.0,0.0,152.0,-16217.0,3516.0,4756.0,60.677941176470576,48.75,69.9388888888889,56.339285714285715
21,2016,7,70.0,23.0,0.0,4.0,2.0,4.0,7.0,3.0,3.0,13.0,4.0,4.0,56.0,4.0,0.0,1.0,7.0,11.0,9.0,41.0,133.0,864057.0,16884.0,0.0,-5508.0,894.0,12529.0,8969.0,99.0925925925926,72.41666428571429,105.21969090909091,95.8873
22,2016,8,24.0,8.0,0.0,5.0,2.0,1.0,14.0,11.0,1.0,3.0,5.0,3.0,31.0,2.0,0.0,0.0,6.0,3.0,5.0,24.0,74.0,947281.0,83224.0,16130.0,1311.0,2323.0,2535.0,60925.0,149.77307692307693,99.13214285714285,132.97727272727272,121.94736842105264
23,2016,9,53.0,9.0,0.0,4.0,1.0,2.0,14.0,5.0,2.0,6.0,12.0,3.0,38.0,3.0,0.0,0.0,1.0,5.0,10.0,48.0,108.0,1146984.0,199703.0,24932.0,19032.0,965.0,4521.0,150253.0,112.57894736842104,161.66666666666666,117.875,91.7625
24,2016,10,37.0,26.0,0.0,5.0,4.0,2.0,11.0,15.0,1.0,8.0,11.0,1.0,45.0,4.0,0.0,0.0,0.0,4.0,10.0,56.0,120.0,1288334.0,141350.0,6287.0,20698.0,24.0,9959.0,104382.0,142.95333333333338,94.30833333333334,120.5,111.0
25,2016,11,18.0,5.0,0.0,18.0,8.0,1.0,24.0,6.0,2.0,4.0,12.0,1.0,36.0,3.0,0.0,0.0,1.0,2.0,11.0,44.0,98.0,1367629.0,79295.0,4494.0,6803.0,-12.0,1451.0,66559.0,159.16458333333338,89.425,132.305,120.78571428571428
26,2016,12,39.0,7.0,0.0,14.0,10.0,0.0,19.0,11.0,2.0,7.0,5.0,0.0,50.0,7.0,0.0,0.0,3.0,1.0,13.0,40.0,114.0,1431005.0,63376.0,1917.0,10678.0,-2833.0,33923.0,19691.0,186.925,95.96666666666664,139.82,145.11666666666662
