,date,timestamp,individuals,Year,Month,Day,Diff
0,2014-03-31,1396224000,398264,2014,03,31,
1,2014-06-30,1404086400,513868,2014,06,30,115604.0
2,2014-09-30,1412035200,589560,2014,09,30,75692.0
3,2014-10-31,1414713600,591356,2014,10,31,1796.0
4,2014-11-30,1417305600,591356,2014,11,30,0.0
5,2014-12-31,1419984000,616149,2014,12,31,24793.0
6,2015-01-31,1422662400,617634,2015,01,31,1485.0
7,2015-02-28,1425081600,625069,2015,02,28,7435.0
8,2015-03-31,1427760000,651450,2015,03,31,26381.0
9,2015-04-30,1430352000,655276,2015,04,30,3826.0
10,2015-05-31,1433030400,662950,2015,05,31,7674.0
11,2015-06-30,1435622400,740522,2015,06,30,77572.0
12,2015-07-31,1438300800,748137,2015,07,31,7615.0
13,2015-08-31,1440979200,753019,2015,08,31,4882.0
14,2015-09-30,1443571200,769975,2015,09,30,16956.0
15,2015-10-31,1446249600,770138,2015,10,31,163.0
16,2015-11-30,1448841600,762550,2015,11,30,-7588.0
17,2015-12-31,1451520000,778072,2015,12,31,15522.0
18,2016-01-31,1454198400,787180,2016,01,31,9108.0
19,2016-02-29,1456704000,769325,2016,02,29,-17855.0
20,2016-03-31,1459382400,840498,2016,03,31,71173.0
21,2016-04-30,1461974400,799783,2016,04,30,-40715.0
22,2016-05-31,1464652800,854966,2016,05,31,55183.0
23,2016-06-30,1467244800,847173,2016,06,30,-7793.0
24,2016-07-31,1469923200,864057,2016,07,31,16884.0
25,2016-08-31,1472601600,947281,2016,08,31,83224.0
26,2016-09-30,1475193600,1146984,2016,09,30,199703.0
27,2016-10-31,1477872000,1288334,2016,10,31,141350.0
28,2016-11-30,1480464000,1367629,2016,11,30,79295.0
29,2016-12-31,1483142400,1431005,2016,12,31,63376.0
30,2017-01-31,1485820800,1526750,2017,01,31,95745.0
31,2017-02-28,1488240000,1643784,2017,02,28,117034.0
32,2017-03-19,1489881600,1646403,2017,03,19,2619.0
33,2017-03-31,1490918400,1770807,2017,03,31,124404.0
34,2017-04-30,1493510400,1824837,2017,04,30,54030.0
35,2017-05-31,1496188800,1887218,2017,05,31,62381.0
36,2017-06-30,1498780800,1952229,2017,06,30,65011.0
37,2017-07-31,1501459200,1984010,2017,07,31,31781.0
38,2017-08-31,1504137600,2055153,2017,08,31,71143.0
39,2017-09-01,1504224000,2055153,2017,09,01,0.0
40,2017-09-15,1505433600,2055930,2017,09,15,777.0
41,2017-09-18,1505692800,2055930,2017,09,18,0.0
42,2017-09-30,1506729600,2110380,2017,09,30,54450.0
43,2017-10-01,1506816000,2105813,2017,10,01,-4567.0
44,2017-10-15,1508025600,2108017,2017,10,15,2204.0
45,2017-10-31,1509408000,2112169,2017,10,31,4152.0
46,2017-11-15,1510704000,2456600,2017,11,15,344431.0
47,2017-11-30,1512000000,2474970,2017,11,30,18370.0
48,2017-12-15,1513296000,2457216,2017,12,15,-17754.0
49,2017-12-19,1513641600,2457667,2017,12,19,451.0
50,2017-12-31,1514678400,2426049,2017,12,31,-31618.0
51,2018-01-15,1515974400,2427818,2018,01,15,1769.0
52,2018-01-31,1517356800,2436675,2018,01,31,8857.0
53,2018-02-15,1518652800,2437280,2018,02,15,605.0
54,2018-02-28,1519776000,2463099,2018,02,28,25819.0
55,2018-03-15,1521072000,2460064,2018,03,15,-3035.0
56,2018-03-31,1522454400,2467875,2018,03,31,7811.0
57,2018-04-15,1523750400,2471364,2018,04,15,3489.0
58,2018-04-30,1525046400,2470248,2018,04,30,-1116.0
59,2018-05-15,1526342400,2472832,2018,05,15,2584.0
60,2018-05-31,1527724800,2481522,2018,05,31,8690.0
61,2018-06-15,1529020800,2484442,2018,06,15,2920.0
62,2018-06-30,1530316800,2485950,2018,06,30,1508.0
63,2018-07-31,1532995200,2495764,2018,07,31,9814.0
64,2018-08-15,1534291200,2489548,2018,08,15,-6216.0
65,2018-08-31,1535673600,2466250,2018,08,31,-23298.0
66,2018-09-15,1536969600,2466014,2018,09,15,-236.0
67,2018-09-30,1538265600,2467911,2018,09,30,1897.0
68,2018-10-31,1540944000,2181316,2018,10,31,-286595.0
