,Year,Month,Battle-Government regains territory,Battle-No change of territory,Battle-Non-state actor overtakes territory,Headquarters or base established,Non-violent transfer of territory,Remote violence,Riots/Protests,Strategic development,Violence against civilians,total_events,Diff,DRC,Ethiopia,Kenya,Sudan,Uganda
0,2014,10,0.0,23.0,1.0,0.0,0.0,3.0,9.0,0.0,12.0,48.0,1796.0,0.0,46751.0,10895.0,10631.0,7415.0
1,2014,11,2.0,20.0,1.0,0.0,0.0,6.0,6.0,0.0,9.0,44.0,0.0,0.0,46751.0,10895.0,10631.0,7415.0
2,2014,12,1.0,21.0,1.0,0.0,0.0,4.0,2.0,2.0,17.0,48.0,24793.0,0.0,-4026.0,2269.0,18848.0,7702.0
3,2015,1,0.0,25.0,1.0,0.0,0.0,6.0,3.0,5.0,21.0,61.0,1485.0,0.0,1485.0,2269.0,18848.0,7702.0
4,2015,2,0.0,19.0,0.0,0.0,0.0,9.0,2.0,4.0,21.0,55.0,7435.0,0.0,7435.0,2269.0,18848.0,7702.0
5,2015,3,2.0,32.0,3.0,0.0,0.0,6.0,6.0,1.0,15.0,65.0,26381.0,-13.0,1178.0,2843.0,13506.0,8867.0
6,2015,4,2.0,32.0,0.0,0.0,0.0,7.0,1.0,4.0,15.0,61.0,3826.0,0.0,3826.0,2843.0,13506.0,8867.0
7,2015,5,10.0,42.0,12.0,0.0,1.0,2.0,2.0,1.0,30.0,100.0,7674.0,0.0,7674.0,2843.0,13506.0,8867.0
8,2015,6,1.0,34.0,8.0,0.0,1.0,4.0,7.0,1.0,18.0,74.0,77572.0,0.0,2272.0,2769.0,58790.0,13741.0
9,2015,7,0.0,22.0,2.0,0.0,1.0,3.0,5.0,6.0,33.0,72.0,7615.0,0.0,7615.0,2769.0,58790.0,13741.0
10,2015,8,0.0,47.0,4.0,0.0,0.0,1.0,7.0,1.0,21.0,81.0,4882.0,0.0,4882.0,2769.0,58790.0,13741.0
11,2015,9,3.0,30.0,1.0,0.0,0.0,6.0,1.0,1.0,34.0,76.0,16956.0,0.0,1276.0,-4846.0,5302.0,15224.0
12,2015,10,0.0,28.0,1.0,0.0,0.0,3.0,5.0,5.0,30.0,72.0,163.0,0.0,163.0,-4846.0,5302.0,15224.0
13,2015,11,2.0,28.0,1.0,0.0,0.0,6.0,2.0,1.0,28.0,68.0,-7588.0,0.0,-7588.0,-4846.0,5302.0,15224.0
14,2015,12,0.0,31.0,1.0,0.0,1.0,5.0,0.0,0.0,26.0,64.0,15522.0,3813.0,270.0,5525.0,1355.0,4559.0
15,2016,1,0.0,23.0,0.0,1.0,0.0,5.0,0.0,0.0,28.0,57.0,9108.0,1130.0,1383.0,883.0,5204.0,508.0
16,2016,2,0.0,28.0,0.0,0.0,0.0,1.0,2.0,5.0,25.0,61.0,-17855.0,0.0,-409.0,1494.0,-25774.0,6834.0
17,2016,3,1.0,25.0,0.0,0.0,0.0,3.0,5.0,0.0,23.0,57.0,71173.0,6185.0,1009.0,1173.0,48831.0,13975.0
18,2016,4,0.0,33.0,0.0,0.0,0.0,5.0,4.0,6.0,13.0,61.0,-40715.0,1.0,290.0,2317.0,1486.0,-44809.0
19,2016,5,1.0,15.0,0.0,0.0,0.0,0.0,4.0,7.0,23.0,50.0,55183.0,0.0,1351.0,1615.0,4583.0,47634.0
20,2016,6,0.0,21.0,0.0,0.0,0.0,0.0,1.0,4.0,17.0,43.0,-7793.0,0.0,152.0,-16217.0,3516.0,4756.0
21,2016,7,4.0,56.0,4.0,0.0,1.0,7.0,11.0,9.0,41.0,133.0,16884.0,0.0,-5508.0,894.0,12529.0,8969.0
22,2016,8,3.0,31.0,2.0,0.0,0.0,6.0,3.0,5.0,24.0,74.0,83224.0,16130.0,1311.0,2323.0,2535.0,60925.0
23,2016,9,3.0,38.0,3.0,0.0,0.0,1.0,5.0,10.0,48.0,108.0,199703.0,24932.0,19032.0,965.0,4521.0,150253.0
24,2016,10,1.0,45.0,4.0,0.0,0.0,0.0,4.0,10.0,56.0,120.0,141350.0,6287.0,20698.0,24.0,9959.0,104382.0
25,2016,11,1.0,36.0,3.0,0.0,0.0,1.0,2.0,11.0,44.0,98.0,79295.0,4494.0,6803.0,-12.0,1451.0,66559.0
26,2016,12,0.0,50.0,7.0,0.0,0.0,3.0,1.0,13.0,40.0,114.0,63376.0,1917.0,10678.0,-2833.0,33923.0,19691.0
27,2017,1,4.0,45.0,4.0,0.0,0.0,2.0,2.0,10.0,36.0,103.0,95745.0,1516.0,3768.0,2473.0,7861.0,80127.0
28,2017,2,5.0,42.0,0.0,0.0,0.0,9.0,0.0,11.0,33.0,100.0,117034.0,3341.0,6495.0,2749.0,27856.0,76593.0
29,2017,3,2.0,37.0,2.0,0.0,0.0,2.0,6.0,11.0,52.0,112.0,63512.0,2914.0,11804.0,2210.0,37332.0,66100.0
30,2017,4,8.0,52.0,4.0,0.0,0.0,1.0,6.0,7.0,70.0,148.0,54030.0,0.0,9557.0,1864.0,-3973.0,46582.0
31,2017,5,2.0,57.0,1.0,0.0,0.0,0.0,3.0,16.0,37.0,116.0,62381.0,2139.0,2530.0,4566.0,24108.0,29038.0
32,2017,6,26.0,34.0,4.0,0.0,1.0,0.0,2.0,11.0,28.0,106.0,65011.0,1280.0,2533.0,4186.0,7168.0,49844.0
33,2017,7,5.0,44.0,4.0,0.0,0.0,5.0,3.0,8.0,29.0,98.0,31781.0,1547.0,1504.0,2000.0,9834.0,16896.0
34,2017,8,1.0,33.0,3.0,0.0,0.0,0.0,1.0,7.0,32.0,77.0,71143.0,2030.0,5764.0,1323.0,42982.0,19044.0
35,2017,9,1.0,33.0,3.0,0.0,0.0,1.0,5.0,10.0,26.0,79.0,13807.0,1791.0,11523.0,1281.0,194.0,20138.0
36,2017,10,1.0,46.0,3.0,0.0,0.0,3.0,7.0,8.0,15.0,83.0,596.0,1307.0,19869.0,1155.0,-738.0,15689.0
37,2017,11,1.0,42.0,9.0,0.0,0.0,1.0,4.0,10.0,32.0,99.0,181400.0,1357.0,1562.0,844.0,172146.0,8072.0
38,2017,12,3.0,43.0,0.0,0.0,0.0,1.0,7.0,11.0,14.0,79.0,-16307.0,904.0,1364.0,412.0,-18238.0,5494.0
39,2018,1,0.0,37.0,0.0,2.0,0.0,2.0,2.0,6.0,14.0,63.0,5313.0,932.0,4459.0,532.0,860.0,-15351.0
40,2018,2,0.0,38.0,0.0,0.0,0.0,0.0,3.0,3.0,20.0,64.0,13212.0,1033.0,6608.0,307.0,1950.0,176.0
41,2018,3,0.0,28.0,1.0,0.0,0.0,2.0,3.0,2.0,19.0,55.0,2388.0,1034.0,5696.0,526.0,-1273.0,15704.0
42,2018,4,0.0,41.0,0.0,0.0,0.0,2.0,1.0,4.0,15.0,63.0,1186.0,674.0,2532.0,-172.0,-2859.0,11999.0
43,2018,5,0.0,22.0,0.0,0.0,0.0,0.0,2.0,6.0,18.0,48.0,5637.0,831.0,1516.0,472.0,16.0,7020.0
44,2018,6,4.0,26.0,4.0,0.0,0.0,0.0,1.0,6.0,19.0,60.0,2214.0,868.0,2667.0,134.0,2339.0,1601.0
45,2018,7,0.0,26.0,0.0,0.0,0.0,0.0,1.0,10.0,17.0,54.0,9814.0,477.0,1230.0,76.0,1758.0,8031.0
46,2018,8,2.0,11.0,0.0,0.0,0.0,0.0,2.0,11.0,10.0,36.0,-14757.0,454.0,-11620.0,112.0,-2848.0,8031.0
47,2018,9,0.0,28.0,2.0,0.0,1.0,0.0,0.0,10.0,11.0,52.0,830.0,441.0,-24471.0,6.0,572.0,8031.0
48,2018,10,0.0,43.0,1.0,0.0,0.0,0.0,4.0,11.0,18.0,77.0,-286595.0,735.0,-24471.0,-439.0,1130.0,-288021.0
