,date,timestamp,individuals,to,Year,Month,Day
0,2014-03-31,1396224000,59580,Sudan,2014,03,31
1,2014-06-30,1404086400,85972,Sudan,2014,06,30
2,2014-09-30,1412035200,96603,Sudan,2014,09,30
3,2014-12-31,1419984000,115451,Sudan,2014,12,31
4,2015-03-31,1427760000,128957,Sudan,2015,03,31
5,2015-06-30,1435622400,187747,Sudan,2015,06,30
6,2015-09-30,1443571200,193049,Sudan,2015,09,30
7,2015-12-31,1451520000,194404,Sudan,2015,12,31
8,2016-01-31,1454198400,199608,Sudan,2016,01,31
9,2016-02-29,1456704000,173834,Sudan,2016,02,29
10,2016-03-31,1459382400,222665,Sudan,2016,03,31
11,2016-04-30,1461974400,224151,Sudan,2016,04,30
12,2016-05-31,1464652800,228734,Sudan,2016,05,31
13,2016-06-30,1467244800,232250,Sudan,2016,06,30
14,2016-07-31,1469923200,244779,Sudan,2016,07,31
15,2016-08-31,1472601600,247314,Sudan,2016,08,31
16,2016-09-30,1475193600,251835,Sudan,2016,09,30
17,2016-10-31,1477872000,261794,Sudan,2016,10,31
18,2016-11-30,1480464000,263245,Sudan,2016,11,30
19,2016-12-31,1483142400,297168,Sudan,2016,12,31
20,2017-01-31,1485820800,305029,Sudan,2017,01,31
21,2017-02-28,1488240000,332885,Sudan,2017,02,28
22,2017-03-31,1490918400,379692,Sudan,2017,03,31
23,2017-04-30,1493510400,375719,Sudan,2017,04,30
24,2017-05-31,1496188800,399827,Sudan,2017,05,31
25,2017-06-30,1498780800,406995,Sudan,2017,06,30
26,2017-07-31,1501459200,416829,Sudan,2017,07,31
27,2017-08-31,1504137600,459811,Sudan,2017,08,31
28,2017-09-01,1504224000,459811,Sudan,2017,09,01
29,2017-09-15,1505433600,460588,Sudan,2017,09,15
30,2017-09-18,1505692800,460588,Sudan,2017,09,18
31,2017-10-01,1506816000,456021,Sudan,2017,10,01
32,2017-10-15,1508025600,458225,Sudan,2017,10,15
33,2017-10-31,1509408000,458373,Sudan,2017,10,31
34,2017-11-15,1510704000,802804,Sudan,2017,11,15
35,2017-11-30,1512000000,802665,Sudan,2017,11,30
36,2017-12-15,1513296000,784911,Sudan,2017,12,15
37,2017-12-31,1514678400,765706,Sudan,2017,12,31
38,2018-01-15,1515974400,767475,Sudan,2018,01,15
39,2018-01-31,1517356800,767425,Sudan,2018,01,31
40,2018-02-28,1519776000,771376,Sudan,2018,02,28
41,2018-03-15,1521072000,767992,Sudan,2018,03,15
42,2018-03-31,1522454400,768830,Sudan,2018,03,31
43,2018-04-15,1523750400,771862,Sudan,2018,04,15
44,2018-04-30,1525046400,763112,Sudan,2018,04,30
45,2018-05-15,1526342400,765243,Sudan,2018,05,15
46,2018-05-31,1527724800,763144,Sudan,2018,05,31
47,2018-06-15,1529020800,766064,Sudan,2018,06,15
48,2018-06-30,1530316800,767822,Sudan,2018,06,30
49,2018-08-15,1534291200,761331,Sudan,2018,08,15
50,2018-08-31,1535673600,762125,Sudan,2018,08,31
51,2018-09-15,1536969600,761889,Sudan,2018,09,15
52,2018-09-30,1538265600,763270,Sudan,2018,09,30
53,2018-10-31,1540944000,764400,Sudan,2018,10,31
