,Unnamed: 0,date,timestamp,individuals,to,period_change,Year,Month,Day
0,0,2012-12-31,1356912000,12524,Uganda,0.0,2012,12,31
0,0,2013-12-31,1388448000,46176,Kenya,0.0,2013,12,31
0,0,2013-12-31,1388448000,68465,Ethiopia,0.0,2013,12,31
1,1,2013-12-31,1388448000,25274,Uganda,12750.0,2013,12,31
0,0,2014-03-31,1396224000,59580,Sudan,0.0,2014,3,31
1,1,2014-03-31,1396224000,63211,Kenya,17035.0,2014,3,31
1,1,2014-03-31,1396224000,157422,Ethiopia,88957.0,2014,3,31
2,2,2014-03-31,1396224000,118051,Uganda,92777.0,2014,3,31
2,2,2014-06-30,1404086400,76310,Kenya,13099.0,2014,6,30
1,1,2014-06-30,1404086400,85972,Sudan,26392.0,2014,6,30
2,2,2014-06-30,1404086400,208820,Ethiopia,51398.0,2014,6,30
3,3,2014-06-30,1404086400,142766,Uganda,24715.0,2014,6,30
3,3,2014-09-30,1412035200,87205,Kenya,10895.0,2014,9,30
2,2,2014-09-30,1412035200,96603,Sudan,10631.0,2014,9,30
3,3,2014-09-30,1412035200,255571,Ethiopia,46751.0,2014,9,30
4,4,2014-09-30,1412035200,150181,Uganda,7415.0,2014,9,30
0,0,2014-10-31,1414713600,1796,DRC,0.0,2014,10,31
1,1,2014-11-30,1417305600,1796,DRC,0.0,2014,11,30
4,4,2014-12-31,1419984000,251545,Ethiopia,-4026.0,2014,12,31
5,5,2014-12-31,1419984000,157883,Uganda,7702.0,2014,12,31
4,4,2014-12-31,1419984000,89474,Kenya,2269.0,2014,12,31
2,2,2014-12-31,1419984000,1796,DRC,0.0,2014,12,31
3,3,2014-12-31,1419984000,115451,Sudan,18848.0,2014,12,31
5,5,2015-01-31,1422662400,253030,Ethiopia,1485.0,2015,1,31
3,3,2015-01-31,1422662400,1796,DRC,0.0,2015,1,31
6,6,2015-02-28,1425081600,260465,Ethiopia,7435.0,2015,2,28
4,4,2015-02-28,1425081600,1796,DRC,0.0,2015,2,28
6,6,2015-03-31,1427760000,166750,Uganda,8867.0,2015,3,31
7,7,2015-03-31,1427760000,261643,Ethiopia,1178.0,2015,3,31
5,5,2015-03-31,1427760000,92317,Kenya,2843.0,2015,3,31
5,5,2015-03-31,1427760000,1783,DRC,-13.0,2015,3,31
4,4,2015-03-31,1427760000,128957,Sudan,13506.0,2015,3,31
8,8,2015-04-30,1430352000,265469,Ethiopia,3826.0,2015,4,30
6,6,2015-04-30,1430352000,1783,DRC,0.0,2015,4,30
7,7,2015-05-31,1433030400,1783,DRC,0.0,2015,5,31
9,9,2015-05-31,1433030400,273143,Ethiopia,7674.0,2015,5,31
8,8,2015-06-30,1435622400,1783,DRC,0.0,2015,6,30
10,10,2015-06-30,1435622400,275415,Ethiopia,2272.0,2015,6,30
5,5,2015-06-30,1435622400,187747,Sudan,58790.0,2015,6,30
6,6,2015-06-30,1435622400,95086,Kenya,2769.0,2015,6,30
7,7,2015-06-30,1435622400,180491,Uganda,13741.0,2015,6,30
9,9,2015-07-31,1438300800,1783,DRC,0.0,2015,7,31
11,11,2015-07-31,1438300800,283030,Ethiopia,7615.0,2015,7,31
12,12,2015-08-31,1440979200,287912,Ethiopia,4882.0,2015,8,31
10,10,2015-08-31,1440979200,1783,DRC,0.0,2015,8,31
6,6,2015-09-30,1443571200,193049,Sudan,5302.0,2015,9,30
13,13,2015-09-30,1443571200,289188,Ethiopia,1276.0,2015,9,30
11,11,2015-09-30,1443571200,1783,DRC,0.0,2015,9,30
8,8,2015-09-30,1443571200,195715,Uganda,15224.0,2015,9,30
7,7,2015-09-30,1443571200,90240,Kenya,-4846.0,2015,9,30
14,14,2015-10-31,1446249600,289351,Ethiopia,163.0,2015,10,31
12,12,2015-10-31,1446249600,1783,DRC,0.0,2015,10,31
13,13,2015-11-30,1448841600,1783,DRC,0.0,2015,11,30
15,15,2015-11-30,1448841600,281763,Ethiopia,-7588.0,2015,11,30
7,7,2015-12-31,1451520000,194404,Sudan,1355.0,2015,12,31
8,8,2015-12-31,1451520000,95765,Kenya,5525.0,2015,12,31
14,14,2015-12-31,1451520000,5596,DRC,3813.0,2015,12,31
9,9,2015-12-31,1451520000,200274,Uganda,4559.0,2015,12,31
16,16,2015-12-31,1451520000,282033,Ethiopia,270.0,2015,12,31
17,17,2016-01-31,1454198400,283416,Ethiopia,1383.0,2016,1,31
8,8,2016-01-31,1454198400,199608,Sudan,5204.0,2016,1,31
10,10,2016-01-31,1454198400,200782,Uganda,508.0,2016,1,31
15,15,2016-01-31,1454198400,6726,DRC,1130.0,2016,1,31
9,9,2016-01-31,1454198400,96648,Kenya,883.0,2016,1,31
16,16,2016-02-29,1456704000,6726,DRC,0.0,2016,2,29
18,18,2016-02-29,1456704000,283007,Ethiopia,-409.0,2016,2,29
10,10,2016-02-29,1456704000,98142,Kenya,1494.0,2016,2,29
11,11,2016-02-29,1456704000,207616,Uganda,6834.0,2016,2,29
9,9,2016-02-29,1456704000,173834,Sudan,-25774.0,2016,2,29
11,11,2016-03-31,1459382400,99315,Kenya,1173.0,2016,3,31
10,10,2016-03-31,1459382400,222665,Sudan,48831.0,2016,3,31
17,17,2016-03-31,1459382400,12911,DRC,6185.0,2016,3,31
19,19,2016-03-31,1459382400,284016,Ethiopia,1009.0,2016,3,31
12,12,2016-03-31,1459382400,221591,Uganda,13975.0,2016,3,31
20,20,2016-04-30,1461974400,284306,Ethiopia,290.0,2016,4,30
11,11,2016-04-30,1461974400,224151,Sudan,1486.0,2016,4,30
18,18,2016-04-30,1461974400,12912,DRC,1.0,2016,4,30
13,13,2016-04-30,1461974400,176782,Uganda,-44809.0,2016,4,30
12,12,2016-04-30,1461974400,101632,Kenya,2317.0,2016,4,30
21,21,2016-05-31,1464652800,285657,Ethiopia,1351.0,2016,5,31
19,19,2016-05-31,1464652800,12912,DRC,0.0,2016,5,31
13,13,2016-05-31,1464652800,103247,Kenya,1615.0,2016,5,31
14,14,2016-05-31,1464652800,224416,Uganda,47634.0,2016,5,31
12,12,2016-05-31,1464652800,228734,Sudan,4583.0,2016,5,31
20,20,2016-06-30,1467244800,12912,DRC,0.0,2016,6,30
22,22,2016-06-30,1467244800,285809,Ethiopia,152.0,2016,6,30
15,15,2016-06-30,1467244800,229172,Uganda,4756.0,2016,6,30
